"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,-3.728425512E-3,2.263686918E-2,-4.793689944E-3
2.000000000E-1,1.145159264E-2,2.783003329E-2,2.663161080E-4
3.000000000E-1,-6.205165316E-2,2.170476280E-2,-3.062635242E-3
4.000000000E-1,-4.394215782E-2,2.649845275E-2,-4.127899674E-3
5.000000000E-1,-6.644586895E-2,2.117213059E-2,1.331580540E-4
6.000000000E-1,-7.150587500E-2,2.157160475E-2,1.997370810E-3
7.000000000E-1,-3.608583263E-2,2.969424604E-2,-5.459480214E-3
8.000000000E-1,1.877528561E-2,2.183792086E-2,1.464738594E-3
9.000000000E-1,-7.044061057E-2,2.316950140E-2,-1.091896043E-2
1.000000000E0,-1.388838503E-1,3.062635242E-2,-7.590009078E-3
1.100000000E0,-1.719070477E-1,3.049319437E-2,-1.438106983E-2
1.200000000E0,-1.928128622E-1,2.729740107E-2,0.000000000E0
1.300000000E0,-2.507366157E-1,2.170476280E-2,-5.326322160E-4
1.400000000E0,-3.600593780E-1,3.315635545E-2,-1.078580237E-2
1.500000000E0,-4.560663350E-1,3.195793296E-2,-1.557949232E-2
1.600000000E0,-5.539375046E-1,3.328951350E-2,-1.544633426E-2
1.700000000E0,-6.348976015E-1,2.396844972E-2,-1.571265037E-2
1.800000000E0,-7.407582544E-1,4.380899977E-2,-2.902845577E-2
1.900000000E0,-8.214520351E-1,4.327636755E-2,-2.556634637E-2
2.000000000E0,-8.463525912E-1,3.036003631E-2,-2.370213361E-2
2.100000000E0,-8.145278163E-1,2.849582356E-2,-1.584580843E-2
2.200000000E0,-7.864314669E-1,3.155845880E-2,-2.250371113E-2
2.300000000E0,-7.319698228E-1,3.581951653E-2,-2.290318529E-2
2.400000000E0,-6.575344707E-1,3.408846182E-2,-1.318264735E-2
2.500000000E0,-5.487443405E-1,3.222424907E-2,-1.078580237E-2
2.600000000E0,-4.564658091E-1,3.209109101E-2,-1.318264735E-2
2.700000000E0,-3.672499129E-1,3.155845880E-2,-4.527373836E-3
2.800000000E0,-2.657834758E-1,2.609897858E-2,-2.263686918E-3
2.900000000E0,-2.129197283E-1,2.569950442E-2,-2.396844972E-3
3.000000000E0,-1.906823333E-1,2.516687221E-2,-7.057376862E-3
3.100000000E0,-1.854891692E-1,2.490055610E-2,-3.328951350E-3
3.200000000E0,-1.900165431E-1,3.036003631E-2,2.663161080E-4
3.300000000E0,-2.295644851E-1,2.809634939E-2,-7.989483240E-3
3.400000000E0,-2.925482446E-1,3.222424907E-2,-2.663161080E-4
3.500000000E0,-4.008057425E-1,3.142530074E-2,-2.103897253E-2
3.600000000E0,-4.685831920E-1,3.701793901E-2,-1.225054097E-2
3.700000000E0,-5.520732919E-1,3.328951350E-2,-1.424791178E-2
3.800000000E0,-6.735134371E-1,3.914846788E-2,-1.025317016E-2
3.900000000E0,-7.254450782E-1,3.555320042E-2,-2.623213664E-2
4.000000000E0,-7.796404062E-1,3.701793901E-2,-1.531317621E-2
4.100000000E0,-8.014783270E-1,3.861583566E-2,-2.170476280E-2
4.200000000E0,-8.041414881E-1,3.608583263E-2,-2.316950140E-2
4.300000000E0,-7.496798440E-1,3.262372323E-2,-2.263686918E-2
4.400000000E0,-6.929545130E-1,3.621899069E-2,-3.715109707E-2
4.500000000E0,-5.904228114E-1,2.410160777E-2,-3.595267458E-3
4.600000000E0,-5.279716841E-1,2.796319134E-2,-1.597896648E-2
4.700000000E0,-4.191815540E-1,2.090581448E-2,-5.459480214E-3
4.800000000E0,-3.796336120E-1,3.528688431E-2,-9.321063780E-3
4.900000000E0,-3.059972081E-1,2.916161383E-2,2.263686918E-3
5.000000000E0,-2.817624423E-1,3.395530377E-2,-2.170476280E-2
5.100000000E0,-2.366218620E-1,3.075951047E-2,-2.396844972E-3
5.200000000E0,-2.370213361E-1,2.609897858E-2,-1.051948627E-2
5.300000000E0,-2.612561019E-1,3.368898766E-2,-4.926847998E-3
5.400000000E0,-3.145193235E-1,3.462109404E-2,-1.012001210E-2
5.500000000E0,-3.383546152E-1,2.636529469E-2,-8.921589618E-3
5.600000000E0,-4.036020617E-1,2.050634032E-2,-1.198422486E-2
5.700000000E0,-5.095958727E-1,4.008057425E-2,-1.731054702E-2
5.800000000E0,-6.293049632E-1,5.286374744E-2,-1.890844367E-2
5.900000000E0,-6.370281303E-1,3.169161685E-2,-1.597896648E-2
6.000000000E0,-7.004113640E-1,3.355582961E-2,-9.454221834E-3
6.100000000E0,-7.061371604E-1,2.743055912E-2,-9.454221834E-3
6.200000000E0,-7.384945675E-1,3.075951047E-2,-1.158475070E-2
6.300000000E0,-7.418235188E-1,3.488741015E-2,-2.596582053E-2
6.400000000E0,-6.897587197E-1,3.169161685E-2,-1.850896951E-2
6.500000000E0,-6.603307898E-1,3.342267155E-2,-2.077265642E-2
6.600000000E0,-5.799033252E-1,3.062635242E-2,-1.185106681E-2
6.700000000E0,-5.194495687E-1,4.154531285E-2,-5.725796322E-3
6.800000000E0,-4.322310433E-1,3.382214572E-2,-6.657902700E-4
6.900000000E0,-3.852262502E-1,3.102582658E-2,-2.183792086E-2
7.000000000E0,-3.253051259E-1,3.049319437E-2,6.657902700E-4
7.100000000E0,-2.760366459E-1,1.757686313E-2,-1.850896951E-2
7.200000000E0,-2.732403268E-1,2.783003329E-2,-1.278317318E-2
7.300000000E0,-2.826945486E-1,2.476739804E-2,-1.344896345E-2
7.400000000E0,-3.090598433E-1,3.222424907E-2,-1.171790875E-2
7.500000000E0,-3.426156729E-1,3.089266853E-2,-1.651159870E-2
7.600000000E0,-4.234426117E-1,4.114583869E-2,-1.984055005E-2
7.700000000E0,-4.416852651E-1,2.436792388E-2,-1.145159264E-2
7.800000000E0,-5.126585079E-1,3.115898464E-2,-1.078580237E-2
7.900000000E0,-5.279716841E-1,1.877528561E-2,-2.583266248E-2
8.000000000E0,-6.189186350E-1,3.235740712E-2,-1.944107588E-2
8.100000000E0,-6.824350268E-1,3.382214572E-2,-1.225054097E-2
8.200000000E0,-6.914897744E-1,3.342267155E-2,-2.210423696E-2
8.300000000E0,-7.077350570E-1,4.194478701E-2,-2.516687221E-2
8.400000000E0,-6.912234583E-1,3.435477793E-2,-1.930791783E-2
8.500000000E0,-6.544718354E-1,3.981425815E-2,-1.318264735E-2
8.600000000E0,-5.772401641E-1,2.956108799E-2,-1.251685708E-2
8.700000000E0,-5.351622190E-1,3.289003934E-2,-1.584580843E-2
8.800000000E0,-4.803011008E-1,2.822950745E-2,-1.731054702E-2
8.900000000E0,-4.199805023E-1,2.982740410E-2,-1.531317621E-2
9.000000000E0,-3.836283536E-1,3.102582658E-2,-4.926847998E-3
9.100000000E0,-3.849599341E-1,4.114583869E-2,-8.655273510E-3
9.200000000E0,-3.440804115E-1,3.036003631E-2,-1.518001816E-2
9.300000000E0,-3.334277672E-1,3.195793296E-2,-1.012001210E-2
9.400000000E0,-3.415504085E-1,3.621899069E-2,-6.125270484E-3
9.500000000E0,-3.191798554E-1,1.890844367E-2,-5.193164106E-3
9.600000000E0,-3.784351895E-1,2.729740107E-2,-3.328951350E-3
9.700000000E0,-4.209126087E-1,2.703108496E-2,-1.597896648E-3
