"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,-8.522115456E-3,2.503371415E-2,-2.689792691E-2
2.000000000E-1,6.338323370E-2,1.810949534E-2,-4.261057728E-3
3.000000000E-1,1.276985738E-1,1.984055005E-2,-1.491370205E-2
4.000000000E-1,1.182443520E-1,2.143844669E-2,4.127899674E-3
5.000000000E-1,-2.037318226E-2,2.596582053E-2,-1.025317016E-2
6.000000000E-1,7.217166527E-2,1.198422486E-2,-1.984055005E-2
7.000000000E-1,-1.117196073E-1,-7.590009078E-3,6.431534008E-2
8.000000000E-1,-1.892175947E-1,8.921589618E-3,-9.321063780E-3
9.000000000E-1,-1.090564462E-1,1.984055005E-2,-1.664475675E-2
1.000000000E0,2.223739502E-2,3.688478096E-2,0.000000000E0
1.100000000E0,2.063949837E-2,6.791060754E-3,-2.822950745E-2
1.200000000E0,1.360875312E-1,5.326322160E-3,-3.195793296E-3
1.300000000E0,2.316950140E-1,8.921589618E-3,-9.587379888E-3
1.400000000E0,4.428836876E-1,2.263686918E-2,-1.424791178E-2
1.500000000E0,6.526076227E-1,2.157160475E-2,3.488741015E-2
1.600000000E0,8.239820382E-1,9.587379888E-3,2.836266550E-2
1.700000000E0,8.772452598E-1,2.143844669E-2,2.729740107E-2
1.800000000E0,8.547415486E-1,1.518001816E-2,1.504686010E-2
1.900000000E0,6.836334492E-1,1.518001816E-2,1.970739199E-2
2.000000000E0,5.438174925E-1,2.330265945E-2,5.858954376E-3
2.100000000E0,3.099919497E-1,5.193164106E-3,-3.994741620E-3
2.200000000E0,7.603324883E-2,1.957423394E-2,-6.791060754E-3
2.300000000E0,3.462109404E-2,8.122641294E-3,-1.225054097E-2
2.400000000E0,4.034689036E-2,1.904160172E-2,-1.358212151E-2
2.500000000E0,1.446096466E-1,1.291633124E-2,-3.861583566E-3
2.600000000E0,2.487392449E-1,3.688478096E-2,1.158475070E-2
2.700000000E0,5.552690852E-1,-4.261057728E-3,-4.367584171E-2
2.800000000E0,6.434197169E-1,1.930791783E-2,-1.464738594E-3
2.900000000E0,8.319715214E-1,5.725796322E-3,1.038632821E-2
3.000000000E0,8.837700044E-1,1.198422486E-3,1.518001816E-2
3.100000000E0,8.335694180E-1,1.810949534E-2,7.989483240E-3
3.200000000E0,6.546049935E-1,1.158475070E-2,-1.225054097E-2
3.300000000E0,4.894890065E-1,1.691107286E-2,-1.970739199E-2
3.400000000E0,2.735066429E-1,1.957423394E-2,-1.171790875E-2
3.500000000E0,1.186438261E-1,2.516687221E-2,-5.725796322E-3
3.600000000E0,4.807005749E-2,9.187905726E-3,-1.171790875E-2
3.700000000E0,3.542004236E-2,1.677791480E-2,-3.129214269E-2
3.800000000E0,1.334243701E-1,2.956108799E-2,2.210423696E-2
3.900000000E0,3.183809071E-1,1.651159870E-2,-9.321063780E-4
4.000000000E0,5.040032344E-1,2.037318226E-2,-5.193164106E-3
4.100000000E0,7.218498107E-1,3.595267458E-3,-1.451422789E-2
4.200000000E0,8.536762842E-1,-1.331580540E-3,-9.054747672E-3
4.300000000E0,8.620652416E-1,1.198422486E-3,1.731054702E-3
4.400000000E0,8.034756978E-1,2.410160777E-2,1.185106681E-2
4.500000000E0,6.592655254E-1,1.464738594E-3,-2.463423999E-2
4.600000000E0,4.818989974E-1,1.757686313E-2,-7.190534916E-3
4.700000000E0,3.161172202E-1,5.992112430E-3,7.057376862E-3
4.800000000E0,1.106543429E-1,3.075951047E-2,1.065264432E-3
4.900000000E0,3.568635847E-2,2.410160777E-2,-1.544633426E-2
5.000000000E0,7.843009381E-2,2.130528864E-2,2.663161080E-3
5.100000000E0,1.878860142E-1,5.858954376E-3,-1.158475070E-2
5.200000000E0,3.004045698E-1,2.716424302E-2,-1.664475675E-2
5.300000000E0,5.647233070E-1,1.411475372E-2,-8.788431564E-3
5.400000000E0,6.869624006E-1,2.143844669E-2,9.720537942E-3
5.500000000E0,8.242483543E-1,2.663161080E-3,-6.258428538E-3
5.600000000E0,8.447546946E-1,2.703108496E-2,5.033374441E-2
5.700000000E0,7.934888438E-1,2.569950442E-2,1.531317621E-2
5.800000000E0,6.182528447E-1,2.396844972E-2,1.278317318E-2
5.900000000E0,4.500742225E-1,1.145159264E-2,-1.065264432E-3
6.000000000E0,2.543318831E-1,1.704423091E-2,-5.326322160E-4
6.100000000E0,1.708417833E-1,2.609897858E-2,2.929477188E-3
6.200000000E0,4.407531587E-2,3.635214874E-2,2.663161080E-4
6.300000000E0,1.306280510E-1,1.624528259E-2,7.856325186E-3
6.400000000E0,2.258360596E-1,1.997370810E-3,-1.664475675E-2
6.500000000E0,2.921487705E-1,6.524744646E-3,-5.819006960E-2
6.600000000E0,5.398227509E-1,-4.926847998E-3,-3.115898464E-2
6.700000000E0,7.137271694E-1,2.689792691E-2,1.771002118E-2
6.800000000E0,7.921572632E-1,-9.321063780E-4,-1.704423091E-2
6.900000000E0,8.342352083E-1,-3.595267458E-3,2.476739804E-2
7.000000000E0,7.676561813E-1,-2.530003026E-3,-3.022687826E-2
7.100000000E0,6.114617840E-1,2.516687221E-2,3.675162290E-2
7.200000000E0,4.253068245E-1,2.303634334E-2,1.238369902E-2
7.300000000E0,2.601908375E-1,2.303634334E-2,2.343581750E-2
7.400000000E0,1.631186162E-1,5.992112430E-3,-1.278317318E-2
7.500000000E0,5.712480517E-2,3.195793296E-2,-6.524744646E-3
7.600000000E0,1.270327835E-1,2.277002723E-2,-3.195793296E-3
7.700000000E0,2.059955095E-1,4.474110614E-2,3.661846485E-2
7.800000000E0,3.380882991E-1,2.929477188E-2,1.890844367E-2
7.900000000E0,5.548696110E-1,2.503371415E-2,1.504686010E-2
8.000000000E0,7.053382120E-1,1.424791178E-2,-4.926847998E-3
