"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,-6.045375652E-2,3.581951653E-2,-1.065264432E-2
2.000000000E-1,-4.727110917E-2,2.583266248E-2,-1.131843459E-2
3.000000000E-1,2.063949837E-2,2.037318226E-2,6.524744646E-3
4.000000000E-1,1.225054097E-2,1.518001816E-2,-5.060006052E-3
5.000000000E-1,-8.309062570E-2,3.395530377E-2,6.524744646E-3
6.000000000E-1,-6.697850116E-2,2.796319134E-2,-2.663161080E-3
7.000000000E-1,-7.470166829E-2,3.741741317E-2,-6.391586592E-3
8.000000000E-1,1.171790875E-1,2.796319134E-3,-1.198422486E-2
9.000000000E-1,1.980060263E-1,3.355582961E-2,1.464738594E-3
1.000000000E0,4.103931224E-1,5.992112430E-3,-5.326322160E-4
1.100000000E0,6.111954679E-1,3.049319437E-2,-6.924218808E-3
1.200000000E0,9.639311529E-1,1.850896951E-2,-4.261057728E-3
1.300000000E0,1.294163127E0,5.992112430E-3,-1.238369902E-2
1.400000000E0,1.685780964E0,-1.225054097E-2,-8.122641294E-3
1.500000000E0,1.950099701E0,1.557949232E-2,1.265001513E-2
1.600000000E0,2.064082995E0,-5.858954376E-3,2.450108194E-2
1.700000000E0,1.926663883E0,6.258428538E-3,-4.127899674E-3
1.800000000E0,1.651692502E0,-5.592638268E-3,-8.655273510E-3
1.900000000E0,1.274455735E0,3.435477793E-2,8.921589618E-3
2.000000000E0,9.185242565E-1,-1.065264432E-3,-9.187905726E-3
2.100000000E0,6.547381515E-1,2.316950140E-2,-4.926847998E-3
2.200000000E0,4.279699856E-1,1.478054399E-2,1.784317924E-2
2.300000000E0,2.067944579E-1,2.396844972E-2,-1.797633729E-2
2.400000000E0,1.186438261E-1,1.078580237E-2,1.731054702E-3
2.500000000E0,-3.542004236E-2,2.862898161E-2,0.000000000E0
2.600000000E0,-4.101268063E-2,3.249056518E-2,8.655273510E-3
2.700000000E0,-3.635214874E-2,2.836266550E-2,-3.062635242E-3
2.800000000E0,4.793689944E-3,2.623213664E-2,7.323692970E-3
2.900000000E0,1.296959446E-1,1.997370810E-2,3.994741620E-4
3.000000000E0,2.780340168E-1,2.370213361E-2,-1.957423394E-2
3.100000000E0,4.872253196E-1,1.677791480E-2,1.304948929E-2
3.200000000E0,6.906908261E-1,4.181162896E-2,2.503371415E-2
3.300000000E0,1.073520231E0,1.797633729E-2,-3.115898464E-2
3.400000000E0,1.336107914E0,8.788431564E-3,1.091896043E-2
3.500000000E0,1.714143629E0,7.989483240E-3,2.277002723E-2
3.600000000E0,1.998968707E0,1.065264432E-3,-9.720537942E-3
3.700000000E0,2.043709813E0,-8.788431564E-3,-1.557949232E-2
3.800000000E0,1.841442729E0,-5.326322160E-4,1.398159567E-2
3.900000000E0,1.506683381E0,2.436792388E-2,1.211738291E-2
4.000000000E0,1.172456665E0,7.190534916E-3,-9.054747672E-3
4.100000000E0,8.341020503E-1,2.063949837E-2,1.211738291E-2
4.200000000E0,5.789712188E-1,2.583266248E-2,9.321063780E-4
4.300000000E0,3.539341075E-1,2.117213059E-2,-2.796319134E-3
4.400000000E0,1.825596920E-1,2.077265642E-2,-5.326322160E-4
