"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,1.265001513E-2,1.145159264E-2,1.784317924E-2
1.000000000E-1,-5.858954376E-3,8.655273510E-3,1.651159870E-2
2.000000000E-1,-1.331580540E-4,1.091896043E-2,2.183792086E-2
3.000000000E-1,3.102582658E-2,8.122641294E-3,2.130528864E-2
4.000000000E-1,4.114583869E-2,9.986854050E-3,2.277002723E-2
5.000000000E-1,5.313006355E-2,8.522115456E-3,1.771002118E-2
6.000000000E-1,5.286374744E-2,1.051948627E-2,2.530003026E-2
7.000000000E-1,4.301005144E-2,5.592638268E-3,1.970739199E-2
8.000000000E-1,2.370213361E-2,7.190534916E-3,2.157160475E-2
9.000000000E-1,3.182477491E-2,5.592638268E-3,2.769687523E-2
1.000000000E0,3.328951350E-2,9.853695996E-3,1.930791783E-2
1.100000000E0,3.395530377E-2,3.462109404E-3,1.890844367E-2
1.200000000E0,4.287689339E-2,4.926847998E-3,1.757686313E-2
1.300000000E0,2.756371718E-2,1.384843762E-2,2.343581750E-2
1.400000000E0,1.025317016E-2,1.145159264E-2,2.423476583E-2
1.500000000E0,-1.837581145E-2,1.091896043E-2,1.757686313E-2
1.600000000E0,-1.371527956E-2,8.788431564E-3,1.864212756E-2
1.700000000E0,2.556634637E-2,7.723167132E-3,1.744370507E-2
1.800000000E0,6.751113338E-2,1.185106681E-2,1.464738594E-2
1.900000000E0,8.934905423E-2,1.158475070E-2,2.410160777E-2
2.000000000E0,6.205165316E-2,7.456851024E-3,2.157160475E-2
2.100000000E0,2.663161080E-2,8.921589618E-3,1.970739199E-2
2.200000000E0,3.328951350E-2,1.371527956E-2,1.917475978E-2
2.300000000E0,6.418218203E-2,1.185106681E-2,1.757686313E-2
2.400000000E0,5.965480819E-2,6.524744646E-3,2.277002723E-2
2.500000000E0,2.476739804E-2,1.238369902E-2,2.423476583E-2
2.600000000E0,2.862898161E-2,1.265001513E-2,1.797633729E-2
2.700000000E0,5.526059241E-2,1.278317318E-2,1.597896648E-2
2.800000000E0,8.482168040E-2,1.238369902E-2,2.530003026E-2
2.900000000E0,3.701793901E-2,1.145159264E-2,2.450108194E-2
3.000000000E0,3.595267458E-3,-2.663161080E-4,1.464738594E-2
3.100000000E0,5.060006052E-2,6.657902700E-4,2.130528864E-2
3.200000000E0,1.190433003E-1,7.723167132E-3,2.090581448E-2
3.300000000E0,8.961537034E-2,7.989483240E-3,2.556634637E-2
3.400000000E0,-9.853695996E-3,1.424791178E-2,1.784317924E-2
3.500000000E0,-6.018744041E-2,1.012001210E-2,1.211738291E-2
3.600000000E0,3.195793296E-3,8.122641294E-3,1.757686313E-2
3.700000000E0,4.527373836E-2,1.544633426E-2,2.716424302E-2
3.800000000E0,-6.391586592E-3,1.051948627E-2,2.037318226E-2
3.900000000E0,-8.628641899E-2,1.810949534E-2,2.170476280E-2
4.000000000E0,-7.017429446E-2,9.720537942E-3,1.757686313E-2
4.100000000E0,-6.657902700E-3,1.358212151E-2,2.050634032E-2
4.200000000E0,1.438106983E-2,1.691107286E-2,2.024002421E-2
4.300000000E0,2.543318831E-2,1.611212453E-2,1.731054702E-2
4.400000000E0,-3.155845880E-2,1.518001816E-2,1.371527956E-2
4.500000000E0,6.657902700E-2,6.524744646E-3,2.024002421E-2
4.600000000E0,1.147822425E-1,7.590009078E-3,3.075951047E-2
4.700000000E0,1.982723424E-1,-1.864212756E-3,2.223739502E-2
4.800000000E0,2.857571839E-1,1.198422486E-2,2.783003329E-2
4.900000000E0,3.998736362E-1,1.864212756E-3,2.836266550E-2
5.000000000E0,5.360943254E-1,5.992112430E-3,3.169161685E-2
5.100000000E0,6.705839599E-1,-3.861583566E-3,3.808320344E-2
5.200000000E0,8.335694180E-1,-1.624528259E-2,4.074636452E-2
5.300000000E0,9.456884995E-1,-2.663161080E-2,4.261057728E-2
5.400000000E0,9.724532684E-1,-9.187905726E-3,3.661846485E-2
5.500000000E0,1.003345937E0,-1.398159567E-2,4.327636755E-2
5.600000000E0,9.474195542E-1,-2.663161080E-3,4.234426117E-2
5.700000000E0,8.974852840E-1,-1.411475372E-2,4.101268063E-2
5.800000000E0,8.072041233E-1,-1.557949232E-2,3.874899371E-2
5.900000000E0,6.583334190E-1,-8.522115456E-3,3.036003631E-2
6.000000000E0,5.179848301E-1,1.997370810E-3,2.942792993E-2
6.100000000E0,3.787015056E-1,7.057376862E-3,1.637844064E-2
6.200000000E0,2.712429560E-1,9.986854050E-3,2.609897858E-2
6.300000000E0,1.908154914E-1,1.597896648E-3,2.516687221E-2
6.400000000E0,1.151817167E-1,8.788431564E-3,2.170476280E-2
6.500000000E0,9.853695996E-2,3.861583566E-3,2.290318529E-2
6.600000000E0,8.828378980E-2,1.358212151E-2,3.462109404E-2
6.700000000E0,1.073253915E-1,9.587379888E-3,2.423476583E-2
6.800000000E0,1.683117803E-1,1.278317318E-2,2.210423696E-2
6.900000000E0,2.628539986E-1,3.462109404E-3,2.103897253E-2
7.000000000E0,3.733751834E-1,3.994741620E-3,3.262372323E-2
7.100000000E0,5.079979760E-1,-2.396844972E-3,2.783003329E-2
7.200000000E0,6.211823219E-1,1.331580540E-4,2.583266248E-2
7.300000000E0,7.412908866E-1,-4.793689944E-3,3.901530982E-2
7.400000000E0,8.540757584E-1,-6.657902700E-3,4.261057728E-2
7.500000000E0,9.396963871E-1,-5.592638268E-3,4.274373533E-2
