"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,8.402273207E-2,2.623213664E-2,-3.328951350E-3
2.000000000E-1,6.045375652E-2,2.010686615E-2,3.062635242E-3
3.000000000E-1,2.423476583E-2,3.049319437E-2,-3.328951350E-3
4.000000000E-1,-1.278317318E-2,2.876213966E-2,-4.793689944E-3
5.000000000E-1,-2.303634334E-2,2.676476885E-2,-9.321063780E-3
6.000000000E-1,-3.834951955E-2,2.436792388E-2,-1.198422486E-3
7.000000000E-1,-4.380899977E-2,2.450108194E-2,-5.858954376E-3
8.000000000E-1,-6.205165316E-2,2.849582356E-2,-2.530003026E-3
9.000000000E-1,-5.579322463E-2,2.223739502E-2,-8.522115456E-3
1.000000000E0,-8.269115153E-2,2.250371113E-2,-1.464738594E-3
1.100000000E0,-9.760485358E-2,2.516687221E-2,-3.994741620E-3
1.200000000E0,-1.199754067E-1,2.130528864E-2,-2.530003026E-3
1.300000000E0,-1.436775403E-1,2.929477188E-2,-9.321063780E-4
1.400000000E0,-1.245027805E-1,2.703108496E-2,-3.462109404E-3
1.500000000E0,-1.304948929E-2,2.623213664E-2,2.396844972E-3
1.600000000E0,5.313006355E-2,2.609897858E-2,-1.464738594E-3
1.700000000E0,8.801747369E-2,2.130528864E-2,-2.263686918E-3
1.800000000E0,4.207794506E-2,2.290318529E-2,-5.725796322E-3
1.900000000E0,1.637844064E-2,2.183792086E-2,2.130528864E-3
2.000000000E0,7.257113943E-2,2.103897253E-2,6.657902700E-4
2.100000000E0,1.788312665E-1,1.997370810E-2,-4.394215782E-3
2.200000000E0,1.768338957E-1,2.130528864E-2,-5.326322160E-3
2.300000000E0,5.965480819E-2,3.954794204E-2,-2.663161080E-4
2.400000000E0,-8.695220926E-2,3.435477793E-2,-1.731054702E-3
2.500000000E0,-1.230380419E-1,2.703108496E-2,-1.198422486E-3
2.600000000E0,-7.763114548E-2,1.478054399E-2,-2.796319134E-3
2.700000000E0,2.556634637E-2,1.318264735E-2,2.663161080E-3
2.800000000E0,-3.888215177E-2,2.969424604E-2,-6.125270484E-3
2.900000000E0,2.197107891E-2,2.743055912E-2,7.989483240E-4
3.000000000E0,-1.877528561E-2,1.970739199E-2,-4.127899674E-3
3.100000000E0,-1.023985435E-1,1.984055005E-2,5.725796322E-3
3.200000000E0,-1.371527956E-2,-7.856325186E-3,-7.856325186E-3
3.300000000E0,1.039964402E-1,1.331580540E-2,1.864212756E-3
3.400000000E0,-8.029430656E-2,2.822950745E-2,-2.663161080E-4
3.500000000E0,-1.857554853E-1,2.663161080E-2,-3.062635242E-3
3.600000000E0,-8.082693878E-2,2.596582053E-2,4.527373836E-3
3.700000000E0,-5.073321857E-2,2.303634334E-2,-2.929477188E-3
3.800000000E0,-5.566006657E-2,3.022687826E-2,2.663161080E-3
3.900000000E0,-3.635214874E-2,2.623213664E-2,5.326322160E-4
4.000000000E0,-3.302319739E-2,1.291633124E-2,-7.989483240E-4
4.100000000E0,-1.964081296E-1,3.062635242E-2,3.595267458E-3
4.200000000E0,-2.885535030E-1,3.328951350E-2,9.321063780E-4
4.300000000E0,-2.535329348E-1,2.476739804E-2,-9.720537942E-3
4.400000000E0,-2.711097979E-1,2.117213059E-2,-1.091896043E-2
4.500000000E0,-2.185123666E-1,3.089266853E-2,-9.720537942E-3
4.600000000E0,9.321063780E-4,4.167847090E-2,8.921589618E-3
4.700000000E0,3.480751532E-1,1.544633426E-2,-1.051948627E-2
4.800000000E0,7.511445826E-1,4.527373836E-3,-1.185106681E-2
4.900000000E0,1.176051933E0,1.637844064E-2,1.238369902E-2
5.000000000E0,1.631718794E0,8.255799348E-3,2.277002723E-2
5.100000000E0,1.878860142E0,2.929477188E-3,1.957423394E-2
5.200000000E0,1.786981085E0,-7.723167132E-3,-9.720537942E-3
5.300000000E0,1.476190187E0,-1.291633124E-2,1.331580540E-2
5.400000000E0,1.015995952E0,8.255799348E-3,1.131843459E-2
5.500000000E0,5.466138117E-1,1.518001816E-2,-5.326322160E-4
5.600000000E0,2.258360596E-1,1.504686010E-2,-2.942792993E-2
5.700000000E0,-5.366269576E-2,3.155845880E-2,-6.791060754E-3
5.800000000E0,-2.620550503E-1,2.916161383E-2,-5.725796322E-3
5.900000000E0,-3.709783384E-1,3.462109404E-2,0.000000000E0
6.000000000E0,-3.193130135E-1,2.130528864E-2,1.131843459E-2
6.100000000E0,-2.684466369E-1,3.475425209E-2,-6.125270484E-3
6.200000000E0,-1.411475372E-2,2.130528864E-2,-3.062635242E-3
6.300000000E0,2.623213664E-1,2.729740107E-2,3.195793296E-3
6.400000000E0,6.723150146E-1,-6.657902700E-4,-7.456851024E-3
6.500000000E0,1.076449709E0,2.010686615E-2,-8.388957402E-3
6.600000000E0,1.515338655E0,1.677791480E-2,3.249056518E-2
6.700000000E0,1.824265340E0,-1.704423091E-2,-3.994741620E-4
6.800000000E0,1.823865866E0,5.992112430E-3,1.225054097E-2
6.900000000E0,1.552622910E0,-1.464738594E-3,1.091896043E-2
7.000000000E0,1.128647666E0,-1.278317318E-2,-8.255799348E-3
7.100000000E0,6.645918475E-1,-4.527373836E-3,-5.992112430E-3
7.200000000E0,3.009372020E-1,1.451422789E-2,-1.038632821E-2
7.300000000E0,2.490055610E-2,3.395530377E-2,2.157160475E-2
7.400000000E0,-2.077265642E-1,3.581951653E-2,-3.595267458E-3
7.500000000E0,-3.189135393E-1,2.343581750E-2,-1.970739199E-2
7.600000000E0,-3.568635847E-1,3.542004236E-2,-7.723167132E-3
7.700000000E0,-2.063949837E-1,2.130528864E-2,1.757686313E-2
7.800000000E0,-5.073321857E-2,2.436792388E-2,-2.663161080E-3
7.900000000E0,2.045307709E-1,1.304948929E-2,9.587379888E-3
8.000000000E0,5.651227812E-1,1.544633426E-2,1.131843459E-2
8.100000000E0,9.841711771E-1,6.391586592E-3,1.118527654E-2
8.200000000E0,1.396961145E0,3.595267458E-3,1.597896648E-3
8.300000000E0,1.739976292E0,-1.278317318E-2,-6.657902700E-4
8.400000000E0,1.809751112E0,1.198422486E-2,1.584580843E-2
8.500000000E0,1.590972429E0,-9.187905726E-3,3.861583566E-3
8.600000000E0,1.178581936E0,2.197107891E-2,1.225054097E-2
8.700000000E0,8.109325489E-1,-3.994741620E-4,-1.304948929E-2
8.800000000E0,4.130562835E-1,1.251685708E-2,-7.989483240E-4
8.900000000E0,6.271744343E-2,4.554005447E-2,-5.592638268E-3
9.000000000E0,-1.450091208E-1,5.819006960E-2,2.210423696E-2
9.100000000E0,-2.661829499E-1,2.996056215E-2,-2.796319134E-3
9.200000000E0,-2.949450896E-1,2.743055912E-2,-9.321063780E-4
9.300000000E0,-2.560629378E-1,3.328951350E-2,-4.793689944E-3
9.400000000E0,-8.428904818E-2,2.676476885E-2,7.989483240E-3
9.500000000E0,1.857554853E-1,6.924218808E-3,3.062635242E-3
9.600000000E0,4.687163501E-1,1.118527654E-2,7.590009078E-3
9.700000000E0,8.503473328E-1,7.856325186E-3,-1.012001210E-2
9.800000000E0,1.278849951E0,9.187905726E-3,1.997370810E-2
9.900000000E0,1.606685080E0,1.331580540E-2,3.328951350E-3
1.000000000E1,1.779257918E0,3.994741620E-4,-4.394215782E-3
1.010000000E1,1.711080994E0,-9.454221834E-3,1.731054702E-3
1.020000000E1,1.315335257E0,1.358212151E-2,1.970739199E-2
1.030000000E1,9.041431867E-1,-4.127899674E-3,-2.436792388E-2
1.040000000E1,5.020058636E-1,1.904160172E-2,5.592638268E-3
1.050000000E1,1.788312665E-1,1.171790875E-2,-2.157160475E-2
1.060000000E1,-6.165217900E-2,1.771002118E-2,-1.211738291E-2
1.070000000E1,-2.013349776E-1,2.929477188E-2,3.462109404E-3
1.080000000E1,-2.812298100E-1,3.755057123E-2,5.326322160E-3
1.090000000E1,-2.563292540E-1,3.395530377E-2,6.657902700E-4
1.100000000E1,-1.203748808E-1,2.157160475E-2,2.929477188E-3
1.110000000E1,4.993427025E-2,2.436792388E-2,-4.527373836E-3
1.120000000E1,3.593935877E-1,1.864212756E-2,2.223739502E-2
1.130000000E1,7.255782362E-1,-3.462109404E-3,2.037318226E-2
1.140000000E1,1.142229787E0,-1.384843762E-2,-2.783003329E-2
1.150000000E1,1.496962843E0,-1.278317318E-2,-1.318264735E-2
1.160000000E1,1.738112079E0,1.997370810E-3,-2.263686918E-3
1.170000000E1,1.719736267E0,7.989483240E-4,1.451422789E-2
1.180000000E1,1.414404850E0,1.424791178E-2,2.410160777E-2
1.190000000E1,1.038499663E0,5.592638268E-3,6.657902700E-3
1.200000000E1,6.370281303E-1,1.744370507E-2,1.984055005E-2
1.210000000E1,2.833603389E-1,2.223739502E-2,1.118527654E-2
1.220000000E1,2.130528864E-2,2.623213664E-2,-7.190534916E-3
1.230000000E1,-1.565938715E-1,2.090581448E-2,-3.595267458E-3
1.240000000E1,-2.495381932E-1,3.142530074E-2,7.723167132E-3
1.250000000E1,-2.464755580E-1,1.677791480E-2,-1.731054702E-2
1.260000000E1,-1.625859839E-1,3.688478096E-2,1.997370810E-2
1.270000000E1,1.478054399E-2,2.743055912E-2,1.025317016E-2
1.280000000E1,2.271676401E-1,1.997370810E-2,1.518001816E-2
1.290000000E1,5.579322463E-1,1.677791480E-2,7.989483240E-4
1.300000000E1,9.454221834E-1,3.595267458E-3,-2.530003026E-3
1.310000000E1,1.326786850E0,1.784317924E-2,3.728425512E-3
1.320000000E1,1.645167757E0,-9.321063780E-3,1.198422486E-3
1.330000000E1,1.740508924E0,-1.864212756E-3,2.503371415E-2
1.340000000E1,1.511077597E0,1.637844064E-2,3.036003631E-2
1.350000000E1,1.190566161E0,8.122641294E-3,1.091896043E-2
1.360000000E1,7.881625216E-1,4.793689944E-3,9.720537942E-3
1.370000000E1,4.583300219E-1,-9.054747672E-3,-3.302319739E-2
1.380000000E1,1.705754672E-1,7.057376862E-3,-1.371527956E-2
1.390000000E1,-6.151902095E-2,2.490055610E-2,4.793689944E-3
1.400000000E1,-1.910818075E-1,2.090581448E-2,-1.478054399E-2
1.410000000E1,-2.447445033E-1,2.769687523E-2,-1.118527654E-2
1.420000000E1,-1.973402360E-1,3.595267458E-2,-2.929477188E-3
1.430000000E1,-5.273058938E-2,8.655273510E-3,-2.942792993E-2
1.440000000E1,1.518001816E-1,2.663161080E-2,1.065264432E-3
1.450000000E1,4.759068850E-1,2.117213059E-2,3.062635242E-2
1.460000000E1,8.092014942E-1,5.193164106E-3,6.791060754E-3
1.470000000E1,1.201618279E0,-4.793689944E-3,5.992112430E-3
1.480000000E1,1.498560740E0,1.331580540E-3,-1.105211848E-2
1.490000000E1,1.663676727E0,1.171790875E-2,3.728425512E-3
1.500000000E1,1.618935621E0,-1.158475070E-2,1.997370810E-3
1.510000000E1,1.303217874E0,-2.663161080E-3,-1.837581145E-2
1.520000000E1,9.764480100E-1,-7.456851024E-3,6.258428538E-3
1.530000000E1,5.824333282E-1,1.291633124E-2,7.590009078E-3
1.540000000E1,2.848250775E-1,5.858954376E-3,3.462109404E-3
1.550000000E1,3.621899069E-2,3.235740712E-2,2.063949837E-2
1.560000000E1,-1.394164825E-1,2.929477188E-2,5.060006052E-3
1.570000000E1,-2.363555459E-1,2.716424302E-2,-1.864212756E-2
1.580000000E1,-1.849565370E-1,2.103897253E-2,-1.917475978E-2
1.590000000E1,-9.068063477E-2,3.209109101E-2,1.731054702E-3
1.600000000E1,5.339637965E-2,2.836266550E-2,-1.118527654E-2
1.610000000E1,3.004045698E-1,3.195793296E-2,2.836266550E-2
1.620000000E1,6.564692062E-1,-2.796319134E-3,-1.238369902E-2
1.630000000E1,9.996175114E-1,5.459480214E-3,2.663161080E-3
1.640000000E1,1.376721120E0,-3.994741620E-4,1.411475372E-2
1.650000000E1,1.643436702E0,-2.263686918E-2,-6.924218808E-3
1.660000000E1,1.622397730E0,1.824265340E-2,3.435477793E-2
1.670000000E1,1.439305406E0,2.277002723E-2,1.944107588E-2
1.680000000E1,1.111869751E0,3.062635242E-2,2.303634334E-2
1.690000000E1,7.313040326E-1,1.584580843E-2,1.997370810E-3
1.700000000E1,4.082625936E-1,2.836266550E-2,2.556634637E-2
1.710000000E1,1.844239048E-1,3.861583566E-3,-1.331580540E-2
1.720000000E1,-4.953479609E-2,1.904160172E-2,1.078580237E-2
1.730000000E1,-1.567270296E-1,1.278317318E-2,-2.996056215E-2
1.740000000E1,-1.885518045E-1,2.463423999E-2,-1.731054702E-3
1.750000000E1,-1.364870054E-1,3.155845880E-2,-1.597896648E-3
1.760000000E1,1.065264432E-2,2.370213361E-2,1.944107588E-2
1.770000000E1,2.312955398E-1,2.423476583E-2,2.396844972E-3
1.780000000E1,5.163869334E-1,2.130528864E-3,-1.451422789E-2
1.790000000E1,8.418252174E-1,2.796319134E-3,1.065264432E-3
1.800000000E1,1.260474139E0,-1.597896648E-3,1.571265037E-2
1.810000000E1,1.495897579E0,2.796319134E-3,5.326322160E-4
1.820000000E1,1.650627237E0,3.328951350E-3,2.237055307E-2
1.830000000E1,1.554353964E0,-2.130528864E-3,-3.328951350E-3
1.840000000E1,1.239701483E0,-5.592638268E-3,-5.060006052E-3
1.850000000E1,8.659268252E-1,2.263686918E-2,2.356897556E-2
1.860000000E1,5.322327418E-1,1.371527956E-2,3.275688128E-2
1.870000000E1,2.619218922E-1,1.238369902E-2,3.728425512E-3
1.880000000E1,2.849582356E-2,2.103897253E-2,-1.864212756E-2
1.890000000E1,-1.151817167E-1,3.635214874E-2,-7.989483240E-3
1.900000000E1,-1.704423091E-1,2.290318529E-2,-2.330265945E-2
1.910000000E1,-1.391501664E-1,4.048004842E-2,-8.788431564E-3
1.920000000E1,-7.523430051E-2,3.928162593E-2,-9.986854050E-3
1.930000000E1,1.336906862E-1,2.556634637E-2,2.703108496E-2
1.940000000E1,3.739078156E-1,3.102582658E-2,1.997370810E-2
1.950000000E1,6.641923734E-1,1.145159264E-2,-1.211738291E-2
1.960000000E1,1.038499663E0,5.060006052E-3,-1.051948627E-2
1.970000000E1,1.359144257E0,2.929477188E-3,1.784317924E-2
1.980000000E1,1.577656624E0,-4.793689944E-3,-1.131843459E-2
1.990000000E1,1.584048210E0,1.198422486E-3,7.723167132E-3
2.000000000E1,1.408545895E0,-3.994741620E-4,1.091896043E-2
2.010000000E1,1.051549152E0,1.890844367E-2,-1.091896043E-2
2.020000000E1,6.949518838E-1,1.651159870E-2,9.720537942E-3
2.030000000E1,3.821636150E-1,2.902845577E-2,2.237055307E-2
2.040000000E1,1.535312363E-1,2.050634032E-2,-1.051948627E-2
2.050000000E1,-5.392901187E-2,4.807005749E-2,1.597896648E-3
2.060000000E1,-1.416801695E-1,3.169161685E-2,-8.655273510E-3
2.070000000E1,-1.315601574E-1,2.783003329E-2,-1.997370810E-3
2.080000000E1,-8.735168342E-2,3.661846485E-2,0.000000000E0
2.090000000E1,2.157160475E-2,4.234426117E-2,1.704423091E-2
