"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,-1.731054702E-3,2.396844972E-2,-1.731054702E-3
2.000000000E-1,1.657817772E-1,2.250371113E-2,-9.054747672E-3
3.000000000E-1,1.901497011E-1,2.450108194E-2,-7.989483240E-4
4.000000000E-1,1.398159567E-1,1.438106983E-2,-3.994741620E-3
5.000000000E-1,-3.861583566E-2,2.596582053E-2,-1.025317016E-2
6.000000000E-1,1.105211848E-2,2.103897253E-2,-6.524744646E-3
7.000000000E-1,1.414138533E-1,7.856325186E-3,-1.065264432E-3
8.000000000E-1,1.499359688E-1,1.544633426E-2,2.929477188E-3
9.000000000E-1,-6.817692365E-2,3.249056518E-2,-4.394215782E-3
1.000000000E0,-1.105211848E-2,1.850896951E-2,-3.328951350E-3
1.100000000E0,1.691107286E-1,2.383529167E-2,-1.304948929E-2
1.200000000E0,1.275654157E-1,1.890844367E-2,-9.986854050E-3
1.300000000E0,-9.347695391E-2,1.597896648E-2,3.861583566E-3
1.400000000E0,9.054747672E-3,3.182477491E-2,-1.158475070E-2
1.500000000E0,1.745702088E-1,1.531317621E-2,-1.225054097E-2
1.600000000E0,2.383529167E-2,2.676476885E-2,-7.989483240E-4
1.700000000E0,-7.177219111E-2,1.464738594E-2,-9.054747672E-3
1.800000000E0,-3.648530680E-2,3.382214572E-2,-4.394215782E-3
1.900000000E0,2.238386888E-1,1.930791783E-2,3.062635242E-3
2.000000000E0,2.442118710E-1,3.462109404E-2,2.010686615E-2
2.100000000E0,-4.727110917E-2,-7.989483240E-4,6.418218203E-2
2.200000000E0,-3.459446243E-1,3.715109707E-2,-1.145159264E-2
2.300000000E0,-2.217081599E-1,3.462109404E-2,-1.278317318E-2
2.400000000E0,-4.820321555E-2,2.716424302E-2,5.992112430E-3
2.500000000E0,-7.350324581E-2,2.530003026E-2,-1.251685708E-2
2.600000000E0,-1.769670538E-1,3.382214572E-2,-6.391586592E-3
2.700000000E0,-2.793655973E-1,2.982740410E-2,-9.321063780E-4
2.800000000E0,-3.025350987E-1,2.143844669E-2,-1.997370810E-3
2.900000000E0,-3.134540591E-1,1.304948929E-2,-9.054747672E-3
3.000000000E0,-3.094593175E-1,2.410160777E-2,-8.388957402E-3
3.100000000E0,-2.620550503E-1,2.916161383E-2,5.193164106E-3
3.200000000E0,-1.743038927E-1,3.422161988E-2,7.989483240E-3
3.300000000E0,-6.511428841E-2,1.970739199E-2,-6.657902700E-3
3.400000000E0,-3.981425815E-2,2.356897556E-2,2.263686918E-3
3.500000000E0,7.323692970E-3,2.037318226E-2,-5.326322160E-3
3.600000000E0,-1.118527654E-2,2.636529469E-2,-5.193164106E-3
3.700000000E0,-2.716424302E-2,2.490055610E-2,-1.065264432E-2
3.800000000E0,-1.170459295E-1,2.210423696E-2,-3.328951350E-3
3.900000000E0,-2.039981387E-1,3.049319437E-2,-8.255799348E-3
4.000000000E0,-2.641855791E-1,2.689792691E-2,2.530003026E-3
4.100000000E0,-2.822950745E-1,3.395530377E-2,4.008057425E-2
4.200000000E0,-3.231745971E-1,3.408846182E-2,-2.583266248E-2
4.300000000E0,-3.121224786E-1,4.687163501E-2,1.464738594E-3
4.400000000E0,-1.885518045E-1,2.170476280E-2,-9.720537942E-3
4.500000000E0,-1.404817470E-1,2.769687523E-2,-2.263686918E-3
4.600000000E0,-1.039964402E-1,4.580637058E-2,8.122641294E-3
4.700000000E0,-3.808320344E-2,2.356897556E-2,-1.278317318E-2
4.800000000E0,-2.929477188E-2,3.195793296E-2,2.663161080E-3
4.900000000E0,-1.424791178E-2,1.904160172E-2,1.864212756E-3
5.000000000E0,-5.233111522E-2,1.291633124E-2,-1.025317016E-2
5.100000000E0,-1.026648596E-1,1.238369902E-2,8.255799348E-3
5.200000000E0,-2.065281418E-1,3.355582961E-2,-7.323692970E-3
5.300000000E0,-2.596582053E-1,3.155845880E-2,2.396844972E-3
5.400000000E0,-2.861566580E-1,3.715109707E-2,5.858954376E-3
5.500000000E0,-2.679140046E-1,2.503371415E-2,6.524744646E-3
5.600000000E0,-2.407497616E-1,3.355582961E-2,7.057376862E-3
5.700000000E0,-1.996039229E-1,3.315635545E-2,1.238369902E-2
5.800000000E0,-1.101217107E-1,1.398159567E-2,2.530003026E-3
5.900000000E0,-6.817692365E-2,1.504686010E-2,4.394215782E-3
6.000000000E0,-4.127899674E-2,2.157160475E-2,2.396844972E-3
6.100000000E0,-4.434163198E-2,3.049319437E-2,-2.263686918E-2
6.200000000E0,-4.886900582E-2,2.303634334E-2,3.728425512E-3
6.300000000E0,-1.428785919E-1,3.595267458E-2,-1.464738594E-3
6.400000000E0,-1.728391541E-1,3.968110009E-2,-1.371527956E-2
6.500000000E0,-1.834917984E-1,2.783003329E-2,-1.065264432E-3
6.600000000E0,-2.026665582E-1,1.970739199E-2,1.478054399E-2
6.700000000E0,-2.537992509E-1,1.877528561E-2,-5.193164106E-3
6.800000000E0,-2.776345426E-1,3.382214572E-2,-9.587379888E-3
6.900000000E0,-2.079928803E-1,1.664475675E-2,-1.464738594E-3
7.000000000E0,-1.800296890E-1,2.490055610E-2,-1.291633124E-2
7.100000000E0,-1.316933154E-1,2.130528864E-2,-1.331580540E-4
7.200000000E0,-4.900216387E-2,2.263686918E-3,-1.997370810E-2
7.300000000E0,-1.154480328E-1,4.221110312E-2,1.464738594E-2
7.400000000E0,-1.957423394E-2,9.054747672E-3,-1.291633124E-2
7.500000000E0,-6.897587197E-2,2.223739502E-2,-2.130528864E-3
7.600000000E0,-1.005343308E-1,1.451422789E-2,7.989483240E-4
7.700000000E0,-1.418133275E-1,2.689792691E-2,6.791060754E-3
7.800000000E0,-2.022670840E-1,2.609897858E-2,-1.597896648E-3
7.900000000E0,-2.089249867E-1,2.250371113E-2,-6.657902700E-4
8.000000000E0,-2.245044790E-1,1.877528561E-2,-2.996056215E-2
8.100000000E0,-1.998702391E-1,2.050634032E-2,-1.318264735E-2
8.200000000E0,-1.804291632E-1,1.438106983E-2,-2.183792086E-2
8.300000000E0,-1.352885829E-1,1.904160172E-2,1.810949534E-2
8.400000000E0,-1.422128017E-1,3.568635847E-2,8.522115456E-3
8.500000000E0,-9.733853747E-2,4.061320647E-2,1.118527654E-2
8.600000000E0,-7.416903608E-2,1.544633426E-2,-1.038632821E-2
8.700000000E0,-8.242483543E-2,2.330265945E-2,-2.290318529E-2
8.800000000E0,-1.237038322E-1,2.024002421E-2,-1.757686313E-2
8.900000000E0,-1.245027805E-1,2.796319134E-2,1.531317621E-2
9.000000000E0,-1.577922940E-1,2.530003026E-2,2.663161080E-2
9.100000000E0,-1.752359991E-1,2.143844669E-2,-2.530003026E-3
9.200000000E0,-2.267681660E-1,3.768372928E-2,4.793689944E-3
9.300000000E0,-2.063949837E-1,2.929477188E-2,1.291633124E-2
9.400000000E0,-2.030660324E-1,3.661846485E-2,-2.024002421E-2
9.500000000E0,-2.077265642E-1,4.287689339E-2,-1.810949534E-2
9.600000000E0,-1.683117803E-1,3.515372626E-2,1.078580237E-2
9.700000000E0,-1.498028108E-1,3.328951350E-2,5.992112430E-3
9.800000000E0,-9.574064083E-2,2.263686918E-2,-1.131843459E-2
9.900000000E0,-9.307747975E-2,1.744370507E-2,-1.944107588E-2
1.000000000E1,-9.480853445E-2,2.130528864E-2,-3.595267458E-3
1.010000000E1,-1.451422789E-1,3.249056518E-2,-1.491370205E-2
1.020000000E1,-1.415470114E-1,2.809634939E-2,7.190534916E-3
1.030000000E1,-1.664475675E-1,2.889529772E-2,-1.118527654E-2
