"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,5.086637663E-2,2.503371415E-2,-5.725796322E-3
2.000000000E-1,7.323692970E-3,2.783003329E-2,3.462109404E-3
3.000000000E-1,-2.663161080E-3,1.930791783E-2,-3.728425512E-3
4.000000000E-1,-6.817692365E-2,3.182477491E-2,-1.065264432E-2
5.000000000E-1,5.605954073E-2,2.157160475E-2,-5.459480214E-3
6.000000000E-1,1.299622607E-1,1.358212151E-2,-3.861583566E-3
7.000000000E-1,8.322378375E-2,1.731054702E-2,1.331580540E-3
8.000000000E-1,4.048004842E-2,2.583266248E-2,-1.198422486E-3
9.000000000E-1,9.014800256E-2,1.810949534E-2,-5.060006052E-3
1.000000000E0,2.463423999E-1,2.010686615E-2,-1.238369902E-2
1.100000000E0,2.017344518E-1,2.103897253E-2,1.984055005E-2
1.200000000E0,-8.881642202E-2,2.063949837E-2,-4.527373836E-3
1.300000000E0,-3.639209616E-1,2.743055912E-2,1.065264432E-3
1.400000000E0,-3.435477793E-1,3.355582961E-2,1.451422789E-2
1.500000000E0,-1.162469811E-1,2.396844972E-2,-6.657902700E-3
1.600000000E0,-6.564692062E-2,1.850896951E-2,2.050634032E-2
1.700000000E0,-1.797633729E-2,2.197107891E-2,-5.326322160E-3
1.800000000E0,4.846953166E-2,1.771002118E-2,-1.917475978E-2
1.900000000E0,1.673796739E-1,1.584580843E-2,5.326322160E-3
2.000000000E0,2.743055912E-1,2.809634939E-2,1.331580540E-4
2.100000000E0,4.038683778E-1,5.060006052E-3,-1.864212756E-2
2.200000000E0,5.194495687E-1,1.664475675E-2,-7.057376862E-3
2.300000000E0,5.737780547E-1,3.195793296E-3,-1.651159870E-2
2.400000000E0,5.885585987E-1,1.810949534E-2,-3.435477793E-2
2.500000000E0,5.467469697E-1,1.624528259E-2,5.725796322E-3
2.600000000E0,4.795021525E-1,2.503371415E-2,2.103897253E-2
2.700000000E0,3.499393659E-1,1.691107286E-2,-5.326322160E-3
2.800000000E0,2.037318226E-1,2.303634334E-2,8.122641294E-3
2.900000000E0,1.266333094E-1,1.810949534E-2,-1.997370810E-3
3.000000000E0,1.904160172E-2,2.343581750E-2,-1.344896345E-2
3.100000000E0,-2.743055912E-2,2.024002421E-2,-1.118527654E-2
3.200000000E0,-5.992112430E-3,3.315635545E-2,1.158475070E-2
3.300000000E0,1.584580843E-2,2.530003026E-2,-7.723167132E-3
3.400000000E0,1.276985738E-1,2.609897858E-2,-4.261057728E-3
3.500000000E0,2.483397707E-1,2.157160475E-2,9.720537942E-3
3.600000000E0,3.234409132E-1,2.010686615E-2,-6.258428538E-3
3.700000000E0,4.472779034E-1,1.105211848E-2,-1.864212756E-2
3.800000000E0,5.406216992E-1,1.038632821E-2,-2.663161080E-3
3.900000000E0,5.756422674E-1,2.090581448E-2,-1.984055005E-2
4.000000000E0,5.239769425E-1,2.516687221E-2,-8.255799348E-3
4.100000000E0,4.952148028E-1,1.691107286E-2,-1.451422789E-2
4.200000000E0,4.162520768E-1,1.211738291E-2,1.145159264E-2
4.300000000E0,2.649845275E-1,2.530003026E-2,2.263686918E-3
4.400000000E0,1.679123061E-1,1.504686010E-2,-1.997370810E-2
4.500000000E0,8.855010591E-2,3.142530074E-2,-7.989483240E-4
4.600000000E0,3.502056820E-2,2.157160475E-2,3.595267458E-3
4.700000000E0,1.331580540E-2,3.382214572E-2,1.091896043E-2
4.800000000E0,3.328951350E-2,3.315635545E-2,9.986854050E-3
4.900000000E0,1.043959143E-1,2.210423696E-2,1.331580540E-4
5.000000000E0,1.782986343E-1,2.316950140E-2,-6.924218808E-3
5.100000000E0,2.902845577E-1,1.784317924E-2,3.195793296E-3
5.200000000E0,4.036020617E-1,1.518001816E-2,-1.238369902E-2
5.300000000E0,4.519384353E-1,2.649845275E-2,-1.038632821E-2
5.400000000E0,5.452822311E-1,1.597896648E-2,8.122641294E-3
5.500000000E0,5.323658999E-1,1.731054702E-2,4.261057728E-3
5.600000000E0,4.910869032E-1,1.970739199E-2,1.012001210E-2
5.700000000E0,4.523379094E-1,1.890844367E-2,-6.657902700E-3
5.800000000E0,3.085272111E-1,3.182477491E-2,1.411475372E-2
