"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,8.522115456E-3,1.065264432E-2,1.810949534E-2
1.000000000E-1,3.422161988E-2,1.265001513E-2,1.544633426E-2
2.000000000E-1,9.986854050E-3,8.655273510E-3,2.024002421E-2
3.000000000E-1,1.597896648E-2,1.225054097E-2,2.157160475E-2
4.000000000E-1,-3.462109404E-3,8.655273510E-3,1.904160172E-2
5.000000000E-1,-4.367584171E-2,1.544633426E-2,2.197107891E-2
6.000000000E-1,-6.418218203E-2,1.291633124E-2,2.050634032E-2
7.000000000E-1,1.930791783E-2,9.054747672E-3,1.518001816E-2
8.000000000E-1,6.151902095E-2,9.587379888E-3,1.944107588E-2
9.000000000E-1,3.981425815E-2,1.171790875E-2,2.037318226E-2
1.000000000E0,-3.328951350E-3,1.318264735E-2,2.210423696E-2
1.100000000E0,-1.518001816E-2,1.265001513E-2,2.396844972E-2
1.200000000E0,4.274373533E-2,6.924218808E-3,1.864212756E-2
1.300000000E0,4.101268063E-2,1.078580237E-2,1.557949232E-2
1.400000000E0,2.223739502E-2,1.131843459E-2,1.917475978E-2
1.500000000E0,2.649845275E-2,1.424791178E-2,1.904160172E-2
1.600000000E0,4.181162896E-2,1.118527654E-2,1.384843762E-2
1.700000000E0,4.527373836E-2,1.051948627E-2,1.810949534E-2
1.800000000E0,5.645901490E-2,6.391586592E-3,2.170476280E-2
1.900000000E0,4.487426420E-2,9.587379888E-3,1.571265037E-2
2.000000000E0,2.982740410E-2,1.158475070E-2,1.864212756E-2
2.100000000E0,5.459480214E-3,5.858954376E-3,1.544633426E-2
2.200000000E0,9.321063780E-3,9.454221834E-3,2.237055307E-2
2.300000000E0,2.756371718E-2,1.318264735E-2,2.223739502E-2
2.400000000E0,5.179848301E-2,4.261057728E-3,1.584580843E-2
2.500000000E0,4.101268063E-2,7.323692970E-3,1.850896951E-2
2.600000000E0,1.637844064E-2,3.728425512E-3,1.637844064E-2
2.700000000E0,2.436792388E-2,-1.597896648E-3,1.158475070E-2
2.800000000E0,3.368898766E-2,2.556634637E-2,4.021373231E-2
2.900000000E0,5.552690852E-2,1.624528259E-2,2.170476280E-2
3.000000000E0,2.849582356E-2,1.478054399E-2,2.463423999E-2
3.100000000E0,2.183792086E-2,9.187905726E-3,1.771002118E-2
3.200000000E0,2.729740107E-2,5.459480214E-3,1.677791480E-2
3.300000000E0,3.568635847E-2,7.057376862E-3,1.451422789E-2
3.400000000E0,9.187905726E-3,1.078580237E-2,1.824265340E-2
3.500000000E0,9.054747672E-3,4.793689944E-3,1.038632821E-2
3.600000000E0,-1.451422789E-2,2.010686615E-2,2.569950442E-2
3.700000000E0,-3.089266853E-2,9.321063780E-3,2.316950140E-2
3.800000000E0,-2.197107891E-2,9.321063780E-4,1.810949534E-2
3.900000000E0,-6.657902700E-4,1.784317924E-2,2.250371113E-2
4.000000000E0,7.989483240E-3,1.930791783E-2,2.077265642E-2
4.100000000E0,9.853695996E-3,3.515372626E-2,3.182477491E-2
4.200000000E0,6.671218505E-2,-5.060006052E-3,1.318264735E-2
4.300000000E0,6.191849511E-2,1.424791178E-2,2.623213664E-2
4.400000000E0,5.885585987E-2,9.587379888E-3,2.197107891E-2
4.500000000E0,2.862898161E-2,9.321063780E-4,2.596582053E-2
4.600000000E0,4.620584474E-2,1.344896345E-2,2.130528864E-2
4.700000000E0,5.592638268E-3,2.942792993E-2,1.970739199E-2
4.800000000E0,-1.611212453E-2,9.054747672E-3,1.518001816E-2
4.900000000E0,-6.617955284E-2,1.318264735E-2,3.022687826E-2
5.000000000E0,-1.106543429E-1,1.677791480E-2,1.145159264E-2
5.100000000E0,-1.705754672E-1,1.451422789E-2,2.250371113E-2
5.200000000E0,-2.287655368E-1,2.982740410E-2,5.193164106E-2
5.300000000E0,-2.545981992E-1,-1.557949232E-2,-6.125270484E-3
5.400000000E0,-3.134540591E-1,-1.145159264E-2,7.989483240E-4
5.500000000E0,-3.681820193E-1,-3.994741620E-3,4.527373836E-3
5.600000000E0,-4.130562835E-1,1.917475978E-2,8.388957402E-3
5.700000000E0,-4.821653135E-1,1.957423394E-2,-1.331580540E-3
5.800000000E0,-4.406200007E-1,2.290318529E-2,1.837581145E-2
5.900000000E0,-4.362257849E-1,2.037318226E-2,7.456851024E-3
6.000000000E0,-3.763046606E-1,1.438106983E-2,9.321063780E-4
6.100000000E0,-3.491404176E-1,2.463423999E-2,2.237055307E-2
6.200000000E0,-3.070624725E-1,1.624528259E-2,1.557949232E-2
6.300000000E0,-2.271676401E-1,7.323692970E-3,1.278317318E-2
6.400000000E0,-1.778991601E-1,1.518001816E-2,9.720537942E-3
6.500000000E0,-1.403485889E-1,1.158475070E-2,7.456851024E-3
6.600000000E0,-7.363640386E-2,1.398159567E-2,2.117213059E-2
6.700000000E0,-4.554005447E-2,-1.864212756E-3,-1.118527654E-2
6.800000000E0,2.756371718E-2,-8.122641294E-3,8.655273510E-3
6.900000000E0,-4.527373836E-3,6.924218808E-3,8.655273510E-3
7.000000000E0,-1.664475675E-2,-1.864212756E-3,1.358212151E-2
7.100000000E0,9.321063780E-3,-3.462109404E-3,2.410160777E-2
7.200000000E0,-8.468852234E-2,1.611212453E-2,2.596582053E-2
7.300000000E0,-1.141164523E-1,1.411475372E-2,2.197107891E-2
7.400000000E0,-1.683117803E-1,1.744370507E-2,1.864212756E-2
7.500000000E0,-2.338255428E-1,1.411475372E-2,1.131843459E-2
7.600000000E0,-2.842924453E-1,2.197107891E-2,2.210423696E-2
7.700000000E0,-3.154514299E-1,8.788431564E-3,1.331580540E-3
7.800000000E0,-4.017378489E-1,7.856325186E-3,1.038632821E-2
7.900000000E0,-4.221110312E-1,2.157160475E-2,1.651159870E-2
8.000000000E0,-4.259726147E-1,6.391586592E-3,1.864212756E-3
8.100000000E0,-4.351605205E-1,1.584580843E-2,1.584580843E-2
8.200000000E0,-4.163852349E-1,3.688478096E-2,2.889529772E-2
8.300000000E0,-4.042678519E-1,1.318264735E-2,6.391586592E-3
8.400000000E0,-3.316967125E-1,7.456851024E-3,4.660531890E-3
8.500000000E0,-3.017361504E-1,8.655273510E-3,8.655273510E-3
8.600000000E0,-2.532666187E-1,1.265001513E-2,1.198422486E-2
8.700000000E0,-2.017344518E-1,4.793689944E-3,-9.054747672E-3
8.800000000E0,-1.628523000E-1,1.544633426E-2,1.930791783E-2
8.900000000E0,-1.030643338E-1,1.091896043E-2,8.255799348E-3
9.000000000E0,-6.298375954E-2,1.358212151E-2,1.757686313E-2
9.100000000E0,-3.928162593E-2,2.743055912E-2,4.194478701E-2
9.200000000E0,-3.568635847E-2,8.655273510E-3,1.677791480E-2
