"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,6.672550086E-1,1.012001210E-2,1.864212756E-2
2.000000000E-1,8.874984299E-1,2.170476280E-2,2.942792993E-2
3.000000000E-1,1.106809745E0,3.328951350E-3,1.557949232E-2
4.000000000E-1,1.319862631E0,8.522115456E-3,4.274373533E-2
5.000000000E-1,1.330781592E0,3.728425512E-3,1.331580540E-2
6.000000000E-1,1.231712000E0,9.986854050E-3,3.688478096E-2
7.000000000E-1,1.063533377E0,-4.394215782E-3,4.394215782E-2
8.000000000E-1,8.460862751E-1,4.127899674E-3,7.989483240E-4
9.000000000E-1,5.968143980E-1,1.944107588E-2,2.370213361E-2
1.000000000E0,3.583283233E-1,1.371527956E-2,2.663161080E-3
1.100000000E0,2.113218317E-1,2.024002421E-2,-2.663161080E-3
1.200000000E0,3.581951653E-2,3.355582961E-2,-4.926847998E-3
1.300000000E0,1.424791178E-2,2.569950442E-2,-3.728425512E-3
1.400000000E0,3.781688734E-2,2.330265945E-2,5.193164106E-3
1.500000000E0,1.138501362E-1,2.410160777E-2,3.728425512E-3
1.600000000E0,2.607234697E-1,2.250371113E-2,-7.590009078E-3
1.700000000E0,4.490089581E-1,1.238369902E-2,1.025317016E-2
1.800000000E0,6.719155405E-1,1.571265037E-2,1.877528561E-2
1.900000000E0,9.331716424E-1,5.459480214E-3,1.531317621E-2
2.000000000E0,1.145425581E0,6.258428538E-3,2.396844972E-3
2.100000000E0,1.285108379E0,3.595267458E-3,2.929477188E-2
2.200000000E0,1.355149516E0,-9.853695996E-3,-1.331580540E-3
2.300000000E0,1.201085647E0,9.853695996E-3,1.651159870E-2
2.400000000E0,1.027048071E0,8.655273510E-3,3.235740712E-2
2.500000000E0,8.009456948E-1,1.291633124E-2,1.265001513E-2
2.600000000E0,5.740443708E-1,1.890844367E-2,-9.853695996E-3
2.700000000E0,3.636546455E-1,2.982740410E-2,1.531317621E-2
2.800000000E0,1.776328440E-1,3.155845880E-2,1.185106681E-2
2.900000000E0,6.431534008E-2,2.143844669E-2,1.997370810E-3
3.000000000E0,2.982740410E-2,2.490055610E-2,-5.725796322E-3
3.100000000E0,4.793689944E-2,2.383529167E-2,-1.491370205E-2
3.200000000E0,1.544633426E-1,2.663161080E-2,-2.396844972E-3
3.300000000E0,3.013366762E-1,2.223739502E-2,4.660531890E-3
3.400000000E0,4.997421767E-1,1.331580540E-2,3.728425512E-3
3.500000000E0,6.440855072E-1,2.756371718E-2,-1.411475372E-2
3.600000000E0,9.474195542E-1,4.394215782E-3,4.021373231E-2
3.700000000E0,1.098287629E0,1.611212453E-2,2.383529167E-2
3.800000000E0,1.248889388E0,1.065264432E-3,1.158475070E-2
3.900000000E0,1.246892018E0,4.261057728E-3,1.424791178E-2
4.000000000E0,1.175918775E0,1.265001513E-2,3.874899371E-2
4.100000000E0,9.884322348E-1,1.105211848E-2,1.211738291E-2
4.200000000E0,7.411577286E-1,1.198422486E-2,3.834951955E-2
4.300000000E0,5.355616932E-1,1.624528259E-2,4.127899674E-3
4.400000000E0,3.536677914E-1,2.263686918E-2,1.331580540E-3
4.500000000E0,2.055960354E-1,2.476739804E-2,2.130528864E-3
4.600000000E0,7.856325186E-2,2.343581750E-2,1.597896648E-3
4.700000000E0,5.259743133E-2,2.117213059E-2,7.723167132E-3
4.800000000E0,1.022653855E-1,2.290318529E-2,-1.012001210E-2
4.900000000E0,2.099902512E-1,2.143844669E-2,3.728425512E-3
5.000000000E0,3.323625028E-1,1.691107286E-2,5.725796322E-3
5.100000000E0,5.053348149E-1,1.158475070E-2,1.784317924E-2
5.200000000E0,6.913566164E-1,2.237055307E-2,2.303634334E-2
5.300000000E0,9.683253687E-1,4.394215782E-3,4.354268366E-2
5.400000000E0,1.131577143E0,9.986854050E-3,1.185106681E-2
5.500000000E0,1.224388307E0,-3.994741620E-4,2.729740107E-2
5.600000000E0,1.236505689E0,1.331580540E-3,2.569950442E-2
5.700000000E0,1.128913982E0,6.657902700E-4,3.209109101E-2
5.800000000E0,9.572732502E-1,9.454221834E-3,2.450108194E-2
5.900000000E0,7.572698531E-1,2.530003026E-3,2.263686918E-3
6.000000000E0,5.478122342E-1,1.304948929E-2,2.050634032E-2
6.100000000E0,3.553988461E-1,1.970739199E-2,8.388957402E-3
6.200000000E0,2.234392146E-1,2.849582356E-2,9.054747672E-3
6.300000000E0,1.198422486E-1,2.356897556E-2,2.796319134E-3
6.400000000E0,1.352885829E-1,1.464738594E-2,1.371527956E-2
6.500000000E0,1.304948929E-1,2.862898161E-2,-7.590009078E-3
6.600000000E0,2.491387190E-1,1.278317318E-2,1.225054097E-2
6.700000000E0,3.487409434E-1,2.037318226E-2,1.065264432E-2
6.800000000E0,5.165200915E-1,1.757686313E-2,-1.185106681E-2
6.900000000E0,7.398261480E-1,1.331580540E-2,4.660531890E-3
7.000000000E0,9.625995724E-1,-1.065264432E-3,2.503371415E-2
7.100000000E0,1.098553946E0,1.211738291E-2,3.715109707E-2
7.200000000E0,1.226785152E0,-1.211738291E-2,1.917475978E-2
7.300000000E0,1.210673027E0,2.117213059E-2,-2.130528864E-3
7.400000000E0,1.086569721E0,6.657902700E-4,2.396844972E-2
7.500000000E0,9.520800861E-1,5.326322160E-4,1.677791480E-2
7.600000000E0,7.368966708E-1,4.527373836E-3,1.278317318E-2
7.700000000E0,5.450159150E-1,1.411475372E-2,7.323692970E-3
7.800000000E0,3.314303964E-1,3.222424907E-2,-5.459480214E-3
7.900000000E0,2.154497314E-1,1.464738594E-2,-5.858954376E-3
8.000000000E0,1.434112242E-1,2.769687523E-2,5.858954376E-3
8.100000000E0,1.356880570E-1,2.183792086E-2,8.655273510E-3
8.200000000E0,1.276985738E-1,2.530003026E-2,-6.125270484E-3
8.300000000E0,2.463423999E-1,1.824265340E-2,1.051948627E-2
8.400000000E0,4.049336422E-1,8.388957402E-3,4.261057728E-3
8.500000000E0,5.700496292E-1,9.986854050E-3,2.436792388E-2
8.600000000E0,7.095992698E-1,1.611212453E-2,2.436792388E-2
8.700000000E0,9.317069038E-1,1.318264735E-2,2.623213664E-2
8.800000000E0,1.075650760E0,-1.464738594E-3,3.195793296E-2
8.900000000E0,1.166864027E0,3.728425512E-3,5.033374441E-2
9.000000000E0,1.156877173E0,1.171790875E-2,2.356897556E-2
9.100000000E0,1.056609158E0,1.478054399E-2,2.703108496E-2
