"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,-1.487375463E-1,4.527373836E-2,-1.065264432E-3
2.000000000E-1,-7.563377467E-2,3.328951350E-2,1.731054702E-3
3.000000000E-1,-9.347695391E-2,1.984055005E-2,-9.321063780E-4
4.000000000E-1,-1.760349474E-1,1.797633729E-2,5.060006052E-3
5.000000000E-1,-3.219761746E-1,4.167847090E-2,-1.304948929E-2
6.000000000E-1,-3.897536241E-1,2.543318831E-2,-1.731054702E-3
7.000000000E-1,-4.729774078E-1,9.187905726E-3,-5.326322160E-3
8.000000000E-1,-6.340986531E-1,3.954794204E-2,4.261057728E-3
9.000000000E-1,-7.443535219E-1,5.060006052E-2,6.924218808E-3
1.000000000E0,-6.625944767E-1,1.278317318E-2,-1.251685708E-2
1.100000000E0,-7.628624914E-1,4.540689641E-2,-9.187905726E-3
1.200000000E0,-6.399576075E-1,3.102582658E-2,-9.054747672E-3
1.300000000E0,-5.889580728E-1,4.327636755E-2,-1.957423394E-2
1.400000000E0,-4.033357456E-1,1.837581145E-2,7.989483240E-4
1.500000000E0,-3.542004236E-1,3.488741015E-2,-6.791060754E-3
1.600000000E0,-2.356897556E-1,2.410160777E-2,5.992112430E-3
1.700000000E0,-1.430117500E-1,2.050634032E-2,6.125270484E-3
1.800000000E0,-1.099885526E-1,1.917475978E-2,-1.051948627E-2
1.900000000E0,-1.159806650E-1,2.263686918E-2,-2.396844972E-3
2.000000000E0,-1.258343610E-1,1.970739199E-2,1.731054702E-3
2.100000000E0,-1.905491753E-1,1.291633124E-2,-5.060006052E-3
2.200000000E0,-3.106577400E-1,2.769687523E-2,-3.595267458E-3
2.300000000E0,-4.286357758E-1,3.741741317E-2,1.331580540E-3
2.400000000E0,-4.978779639E-1,2.743055912E-2,3.994741620E-3
2.500000000E0,-4.524710675E-1,-1.491370205E-2,3.728425512E-3
2.600000000E0,-6.696518536E-1,3.795004539E-2,-1.731054702E-2
2.700000000E0,-7.382282514E-1,5.153216690E-2,2.263686918E-3
2.800000000E0,-7.153250661E-1,6.138586289E-2,-7.856325186E-3
2.900000000E0,-6.085323068E-1,3.488741015E-2,-4.394215782E-3
3.000000000E0,-4.733768820E-1,1.677791480E-2,8.655273510E-3
3.100000000E0,-4.502073806E-1,3.861583566E-2,-3.062635242E-3
3.200000000E0,-3.463440985E-1,3.062635242E-2,-2.530003026E-3
3.300000000E0,-2.306297495E-1,6.391586592E-3,9.321063780E-4
3.400000000E0,-1.814944276E-1,1.864212756E-2,-8.522115456E-3
3.500000000E0,-1.872202239E-1,3.382214572E-2,-6.791060754E-3
3.600000000E0,-1.625859839E-1,2.423476583E-2,-5.193164106E-3
3.700000000E0,-1.680454641E-1,2.609897858E-2,3.462109404E-3
3.800000000E0,-2.533997768E-1,2.689792691E-2,-5.459480214E-3
3.900000000E0,-2.709766399E-1,1.012001210E-2,9.454221834E-3
4.000000000E0,-4.000067942E-1,1.597896648E-2,-7.989483240E-4
