"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,2.050634032E-2,6.125270484E-3,2.277002723E-2
2.000000000E-1,7.856325186E-3,2.929477188E-3,2.277002723E-2
3.000000000E-1,5.193164106E-3,6.391586592E-3,1.957423394E-2
4.000000000E-1,5.326322160E-3,1.331580540E-2,1.717738897E-2
5.000000000E-1,-1.464738594E-2,4.127899674E-3,2.103897253E-2
6.000000000E-1,8.388957402E-3,2.530003026E-3,1.744370507E-2
7.000000000E-1,7.989483240E-4,1.691107286E-2,1.797633729E-2
8.000000000E-1,2.609897858E-2,6.524744646E-3,1.384843762E-2
9.000000000E-1,8.921589618E-3,8.788431564E-3,1.797633729E-2
1.000000000E0,1.997370810E-2,1.464738594E-2,2.050634032E-2
1.100000000E0,-9.720537942E-3,1.531317621E-2,1.877528561E-2
1.200000000E0,-9.054747672E-3,1.185106681E-2,2.569950442E-2
1.300000000E0,-2.663161080E-3,2.103897253E-2,1.810949534E-2
1.400000000E0,2.503371415E-2,1.651159870E-2,1.597896648E-2
1.500000000E0,3.581951653E-2,1.012001210E-2,1.704423091E-2
1.600000000E0,3.728425512E-3,1.185106681E-2,2.330265945E-2
1.700000000E0,1.544633426E-2,1.091896043E-2,1.797633729E-2
1.800000000E0,3.195793296E-3,1.784317924E-2,1.944107588E-2
1.900000000E0,5.392901187E-2,1.118527654E-2,2.530003026E-2
2.000000000E0,2.822950745E-2,7.989483240E-3,1.810949534E-2
2.100000000E0,-2.356897556E-2,1.318264735E-2,1.810949534E-2
2.200000000E0,-7.896272602E-2,9.720537942E-3,1.384843762E-2
2.300000000E0,-1.275654157E-1,9.454221834E-3,2.410160777E-2
2.400000000E0,-1.826928501E-1,1.464738594E-2,2.290318529E-2
2.500000000E0,-2.139849928E-1,1.012001210E-2,2.796319134E-3
2.600000000E0,-1.930791783E-1,1.717738897E-2,1.784317924E-2
2.700000000E0,-1.739044185E-1,1.531317621E-2,-2.663161080E-4
2.800000000E0,-1.214401452E-1,1.731054702E-2,1.318264735E-2
2.900000000E0,-9.294432169E-2,1.970739199E-2,1.065264432E-2
3.000000000E0,-7.856325186E-3,1.331580540E-4,2.130528864E-2
3.100000000E0,-6.524744646E-3,1.358212151E-2,2.157160475E-2
3.200000000E0,2.783003329E-2,1.424791178E-2,2.277002723E-2
3.300000000E0,1.344896345E-2,1.278317318E-2,2.050634032E-2
3.400000000E0,-1.997370810E-3,5.060006052E-3,1.850896951E-2
3.500000000E0,-5.419532798E-2,1.344896345E-2,1.344896345E-2
3.600000000E0,-9.867011801E-2,1.211738291E-2,1.890844367E-2
3.700000000E0,-1.443433305E-1,1.970739199E-2,4.127899674E-3
3.800000000E0,-1.861549595E-1,1.624528259E-2,1.265001513E-2
3.900000000E0,-1.725728380E-1,9.054747672E-3,2.010686615E-2
4.000000000E0,-1.692438866E-1,1.438106983E-2,1.864212756E-2
4.100000000E0,-1.439438564E-1,1.731054702E-2,1.677791480E-2
4.200000000E0,-1.039964402E-1,5.858954376E-3,1.118527654E-2
4.300000000E0,-5.472796019E-2,6.657902700E-3,2.636529469E-2
4.400000000E0,-5.579322463E-2,1.611212453E-2,2.543318831E-2
4.500000000E0,-1.091896043E-2,1.398159567E-2,1.744370507E-2
4.600000000E0,-7.989483240E-4,7.323692970E-3,2.183792086E-2
4.700000000E0,-1.065264432E-2,6.258428538E-3,1.584580843E-2
4.800000000E0,-3.834951955E-2,1.198422486E-2,1.930791783E-2
4.900000000E0,-8.322378375E-2,1.105211848E-2,2.183792086E-2
5.000000000E0,-1.175785617E-1,2.090581448E-2,1.824265340E-2
5.100000000E0,-1.587244004E-1,1.677791480E-2,1.504686010E-2
5.200000000E0,-1.553954490E-1,1.957423394E-2,1.677791480E-2
5.300000000E0,-1.721733638E-1,2.010686615E-2,7.989483240E-3
5.400000000E0,-1.300954188E-1,7.590009078E-3,2.490055610E-2
5.500000000E0,-1.153148748E-1,8.522115456E-3,1.358212151E-2
5.600000000E0,-9.321063780E-2,9.454221834E-3,1.331580540E-2
5.700000000E0,-5.632585684E-2,9.986854050E-3,1.344896345E-2
5.800000000E0,-3.688478096E-2,1.265001513E-2,1.571265037E-2
5.900000000E0,-3.315635545E-2,1.624528259E-2,1.225054097E-2
6.000000000E0,-3.142530074E-2,1.238369902E-2,1.065264432E-2
6.100000000E0,-3.195793296E-3,3.462109404E-3,3.222424907E-2
6.200000000E0,-6.591323673E-2,1.158475070E-2,1.398159567E-2
6.300000000E0,-1.035969660E-1,2.423476583E-2,1.398159567E-2
6.400000000E0,-1.443433305E-1,2.197107891E-2,9.853695996E-3
6.500000000E0,-1.323591057E-1,1.651159870E-2,1.957423394E-2
6.600000000E0,-1.464738594E-1,9.587379888E-3,1.504686010E-2
6.700000000E0,-1.328917379E-1,1.984055005E-2,2.423476583E-2
6.800000000E0,-1.169127714E-1,1.424791178E-2,1.504686010E-2
6.900000000E0,-1.061269690E-1,1.411475372E-2,1.198422486E-2
7.000000000E0,-9.174589921E-2,1.691107286E-2,1.531317621E-2
7.100000000E0,-5.326322160E-2,9.321063780E-3,2.703108496E-2
7.200000000E0,-8.309062570E-2,2.516687221E-2,3.062635242E-3
7.300000000E0,-4.940163803E-2,1.491370205E-2,2.436792388E-2
7.400000000E0,-4.021373231E-2,1.331580540E-2,1.398159567E-2
7.500000000E0,-6.711165922E-2,6.391586592E-3,1.211738291E-2
7.600000000E0,-7.150587500E-2,1.105211848E-2,1.784317924E-2
7.700000000E0,-8.708536732E-2,1.251685708E-2,2.556634637E-2
7.800000000E0,-1.035969660E-1,4.926847998E-3,2.250371113E-2
7.900000000E0,-1.009338049E-1,9.986854050E-3,1.411475372E-2
8.000000000E0,-1.074585496E-1,1.185106681E-2,8.388957402E-3
8.100000000E0,-5.033374441E-2,-1.597896648E-3,4.287689339E-2
8.200000000E0,-9.680590526E-2,1.544633426E-2,2.676476885E-2
8.300000000E0,-6.591323673E-2,1.371527956E-2,7.057376862E-3
8.400000000E0,-1.109206590E-1,2.876213966E-2,1.331580540E-2
8.500000000E0,-7.390271997E-2,1.211738291E-2,1.424791178E-2
8.600000000E0,-6.351639176E-2,7.190534916E-3,1.890844367E-2
8.700000000E0,-7.217166527E-2,6.924218808E-3,1.957423394E-2
8.800000000E0,-8.708536732E-2,1.930791783E-2,1.984055005E-2
8.900000000E0,-7.390271997E-2,9.853695996E-3,1.864212756E-2
9.000000000E0,-8.122641294E-2,7.723167132E-3,1.518001816E-2
9.100000000E0,-8.029430656E-2,6.924218808E-3,1.904160172E-2
9.200000000E0,-6.298375954E-2,1.118527654E-2,2.237055307E-2
9.300000000E0,-9.680590526E-2,1.784317924E-2,1.904160172E-2
9.400000000E0,-7.976167435E-2,1.637844064E-2,1.984055005E-2
9.500000000E0,-9.214537337E-2,1.837581145E-2,1.344896345E-2
9.600000000E0,-8.841694786E-2,1.491370205E-2,2.423476583E-2
9.700000000E0,-8.215851932E-2,1.557949232E-2,1.797633729E-2
9.800000000E0,-9.001484450E-2,1.225054097E-2,6.258428538E-3
9.900000000E0,-7.416903608E-2,1.557949232E-2,1.970739199E-2
1.000000000E1,-1.043959143E-1,1.318264735E-2,6.258428538E-3
1.010000000E1,-8.215851932E-2,1.278317318E-2,3.528688431E-2
1.020000000E1,-9.307747975E-2,1.944107588E-2,2.277002723E-2
1.030000000E1,-6.884271392E-2,1.051948627E-2,1.704423091E-2
1.040000000E1,-9.400958612E-2,1.771002118E-2,1.584580843E-2
1.050000000E1,-8.508799651E-2,1.291633124E-2,1.944107588E-2
1.060000000E1,-8.508799651E-2,1.078580237E-2,8.388957402E-3
1.070000000E1,-7.576693273E-2,6.258428538E-3,2.303634334E-2
1.080000000E1,-8.695220926E-2,1.344896345E-2,1.304948929E-2
1.090000000E1,-6.870955586E-2,7.057376862E-3,1.984055005E-2
1.100000000E1,-9.467537639E-2,1.238369902E-2,1.557949232E-2
1.110000000E1,-8.362325791E-2,1.318264735E-2,2.583266248E-2
1.120000000E1,-5.965480819E-2,7.190534916E-3,3.195793296E-3
1.130000000E1,-1.081243398E-1,1.930791783E-2,1.291633124E-2
1.140000000E1,-6.311691760E-2,1.171790875E-2,1.890844367E-2
1.150000000E1,-8.775115759E-2,1.744370507E-2,1.424791178E-2
1.160000000E1,-7.536745856E-2,1.065264432E-2,2.383529167E-2
1.170000000E1,-9.014800256E-2,1.984055005E-2,1.478054399E-2
1.180000000E1,-7.390271997E-2,1.012001210E-2,2.050634032E-2
1.190000000E1,-1.035969660E-1,1.278317318E-2,1.291633124E-2
1.200000000E1,-7.110640084E-2,1.597896648E-3,2.929477188E-2
