"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,5.885585987E-2,2.277002723E-2,-4.394215782E-3
2.000000000E-1,5.739112127E-2,2.636529469E-2,-3.195793296E-3
3.000000000E-1,6.018744041E-2,2.024002421E-2,-7.190534916E-3
4.000000000E-1,6.924218808E-3,3.488741015E-2,-2.130528864E-3
5.000000000E-1,2.796319134E-3,2.143844669E-2,-4.660531890E-3
6.000000000E-1,7.550061662E-2,1.731054702E-2,8.388957402E-3
7.000000000E-1,1.191764583E-1,2.063949837E-2,-6.125270484E-3
8.000000000E-1,9.267800558E-2,2.210423696E-2,-1.451422789E-2
9.000000000E-1,8.775115759E-2,1.904160172E-2,-5.326322160E-4
1.000000000E0,4.074636452E-2,2.436792388E-2,3.728425512E-3
1.100000000E0,1.500691269E-1,2.476739804E-2,7.723167132E-3
1.200000000E0,1.949433911E-1,2.343581750E-2,-1.265001513E-2
1.300000000E0,1.527322879E-1,2.956108799E-2,9.720537942E-3
1.400000000E0,-2.729740107E-2,4.061320647E-2,6.964166224E-2
1.500000000E0,-2.183792086E-1,2.410160777E-2,-2.143844669E-2
1.600000000E0,-2.414155519E-1,8.388957402E-3,-9.054747672E-3
1.700000000E0,-2.635197889E-1,1.571265037E-2,4.660531890E-3
1.800000000E0,-2.699113755E-1,2.277002723E-2,2.197107891E-2
1.900000000E0,-3.047987856E-1,3.834951955E-2,-1.731054702E-3
2.000000000E0,-2.633866308E-1,2.490055610E-2,-4.234426117E-2
2.100000000E0,-2.149170992E-1,4.167847090E-2,2.769687523E-2
2.200000000E0,-9.534116666E-2,2.689792691E-2,1.211738291E-2
2.300000000E0,-8.788431564E-2,2.809634939E-2,-1.331580540E-3
2.400000000E0,-3.928162593E-2,2.623213664E-2,-1.744370507E-2
2.500000000E0,-4.181162896E-2,2.170476280E-2,-1.491370205E-2
2.600000000E0,-2.543318831E-2,2.330265945E-2,-9.321063780E-4
2.700000000E0,-1.572596618E-1,5.206479911E-2,4.687163501E-2
2.800000000E0,-1.207743550E-1,2.063949837E-2,1.731054702E-2
2.900000000E0,-2.057291934E-1,9.587379888E-3,-4.527373836E-3
3.000000000E0,-2.215750019E-1,2.636529469E-2,-1.597896648E-3
3.100000000E0,-2.792324392E-1,4.234426117E-2,8.655273510E-3
3.200000000E0,-2.850913936E-1,3.222424907E-2,-2.876213966E-2
3.300000000E0,-2.418150261E-1,2.370213361E-2,-3.941478398E-2
3.400000000E0,-2.033323485E-1,3.768372928E-2,2.090581448E-2
3.500000000E0,-1.398159567E-1,2.809634939E-2,-1.424791178E-2
3.600000000E0,-9.547432472E-2,3.488741015E-2,1.238369902E-2
3.700000000E0,-5.286374744E-2,2.822950745E-2,-3.728425512E-3
3.800000000E0,-4.101268063E-2,3.954794204E-2,1.970739199E-2
3.900000000E0,-5.952165014E-2,7.856325186E-3,-2.343581750E-2
4.000000000E0,-1.241033063E-1,1.917475978E-2,-1.544633426E-2
4.100000000E0,-1.671133578E-1,2.250371113E-2,-4.793689944E-3
4.200000000E0,-2.210423696E-1,3.102582658E-2,1.717738897E-2
4.300000000E0,-2.113218317E-1,1.091896043E-2,4.261057728E-3
4.400000000E0,-2.543318831E-1,3.422161988E-2,-1.637844064E-2
4.500000000E0,-2.456766096E-1,3.515372626E-2,3.062635242E-3
4.600000000E0,-2.498045093E-1,3.435477793E-2,-1.091896043E-2
4.700000000E0,-2.009355035E-1,2.410160777E-2,-3.289003934E-2
4.800000000E0,-1.382180601E-1,2.996056215E-2,-2.530003026E-3
4.900000000E0,-1.205080389E-1,3.715109707E-2,-8.388957402E-3
5.000000000E0,-8.375641597E-2,2.703108496E-2,2.876213966E-2
5.100000000E0,-8.535431261E-2,2.649845275E-2,-1.038632821E-2
5.200000000E0,-1.025317016E-1,3.075951047E-2,7.723167132E-3
5.300000000E0,-1.147822425E-1,2.916161383E-2,2.942792993E-2
5.400000000E0,-1.985386585E-1,3.209109101E-2,-6.657902700E-3
5.500000000E0,-2.370213361E-1,3.914846788E-2,1.025317016E-2
5.600000000E0,-2.514024060E-1,3.235740712E-2,3.062635242E-3
5.700000000E0,-2.261023757E-1,2.530003026E-2,8.655273510E-3
5.800000000E0,-2.364887039E-1,2.703108496E-2,-1.384843762E-2
5.900000000E0,-1.793638987E-1,1.597896648E-2,-7.723167132E-3
6.000000000E0,-1.605886131E-1,2.197107891E-2,-1.824265340E-2
6.100000000E0,-1.608549292E-1,2.982740410E-2,1.850896951E-2
6.200000000E0,-1.428785919E-1,3.422161988E-2,3.928162593E-2
6.300000000E0,-1.306280510E-1,1.810949534E-2,-2.290318529E-2
6.400000000E0,-1.218396194E-1,2.476739804E-2,-9.187905726E-3
6.500000000E0,-1.073253915E-1,2.783003329E-2,2.130528864E-3
6.600000000E0,-1.153148748E-1,2.876213966E-2,1.091896043E-2
