"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.000000000E-1,3.122556366E-1,1.145159264E-2,1.944107588E-2
2.000000000E-1,2.138518347E-1,1.145159264E-2,1.797633729E-2
3.000000000E-1,1.488707044E-1,-1.997370810E-3,2.303634334E-2
4.000000000E-1,7.896272602E-2,6.524744646E-3,2.103897253E-2
5.000000000E-1,5.259743133E-2,1.025317016E-2,1.784317924E-2
6.000000000E-1,8.029430656E-2,4.394215782E-3,2.809634939E-2
7.000000000E-1,1.150485587E-1,1.265001513E-2,2.343581750E-2
8.000000000E-1,1.942776008E-1,2.130528864E-3,2.143844669E-2
9.000000000E-1,2.720419043E-1,1.158475070E-2,2.103897253E-2
1.000000000E0,3.581951653E-1,2.783003329E-2,3.355582961E-2
1.100000000E0,4.868258454E-1,1.331580540E-3,2.423476583E-2
1.200000000E0,5.922870242E-1,-4.527373836E-3,1.810949534E-2
1.300000000E0,6.763097563E-1,-1.997370810E-3,2.263686918E-2
1.400000000E0,7.203850721E-1,-5.459480214E-3,1.930791783E-2
1.500000000E0,7.073355828E-1,8.388957402E-3,6.924218808E-3
1.600000000E0,6.836334492E-1,9.986854050E-3,2.876213966E-2
1.700000000E0,6.099970454E-1,1.331580540E-4,2.490055610E-2
1.800000000E0,5.294364227E-1,6.258428538E-3,2.330265945E-2
1.900000000E0,4.083957516E-1,1.344896345E-2,1.637844064E-2
2.000000000E0,3.025350987E-1,2.130528864E-3,2.796319134E-2
2.100000000E0,2.042644548E-1,2.090581448E-2,2.063949837E-2
2.200000000E0,1.468733336E-1,8.388957402E-3,1.731054702E-2
2.300000000E0,8.655273510E-2,-1.997370810E-3,1.944107588E-2
2.400000000E0,7.350324581E-2,8.122641294E-3,2.583266248E-2
2.500000000E0,8.828378980E-2,7.057376862E-3,1.917475978E-2
2.600000000E0,1.185106681E-1,1.331580540E-2,1.824265340E-2
2.700000000E0,2.050634032E-1,6.524744646E-3,2.463423999E-2
2.800000000E0,2.953445638E-1,8.921589618E-3,2.130528864E-2
2.900000000E0,3.942809979E-1,4.394215782E-3,1.544633426E-2
3.000000000E0,5.018727055E-1,-6.657902700E-3,1.677791480E-2
3.100000000E0,5.958822917E-1,8.522115456E-3,2.143844669E-2
3.200000000E0,6.567355223E-1,4.793689944E-3,1.211738291E-2
3.300000000E0,7.301056101E-1,-2.103897253E-2,1.065264432E-2
3.400000000E0,7.198524399E-1,1.198422486E-3,2.223739502E-2
3.500000000E0,6.559365740E-1,2.796319134E-3,6.524744646E-3
3.600000000E0,5.990780849E-1,-1.997370810E-3,8.921589618E-3
3.700000000E0,4.994758606E-1,1.225054097E-2,2.024002421E-2
3.800000000E0,4.087952258E-1,2.130528864E-3,1.544633426E-2
3.900000000E0,2.792324392E-1,9.986854050E-3,1.118527654E-2
4.000000000E0,2.077265642E-1,1.291633124E-2,2.250371113E-2
4.100000000E0,1.424791178E-1,3.195793296E-3,2.117213059E-2
4.200000000E0,8.841694786E-2,2.143844669E-2,2.729740107E-2
4.300000000E0,8.482168040E-2,3.728425512E-3,2.143844669E-2
4.400000000E0,1.110538170E-1,3.195793296E-3,2.410160777E-2
4.500000000E0,1.344896345E-1,7.323692970E-3,1.544633426E-2
4.600000000E0,2.230397404E-1,7.856325186E-3,1.531317621E-2
4.700000000E0,2.961435121E-1,1.504686010E-2,1.012001210E-2
4.800000000E0,4.048004842E-1,5.858954376E-3,1.930791783E-2
4.900000000E0,5.183843042E-1,-7.989483240E-4,2.197107891E-2
5.000000000E0,5.797701671E-1,5.725796322E-3,4.127899674E-3
5.100000000E0,6.696518536E-1,-9.054747672E-3,2.050634032E-2
5.200000000E0,7.189203335E-1,-1.491370205E-2,1.358212151E-2
5.300000000E0,6.977482030E-1,1.864212756E-3,1.651159870E-2
5.400000000E0,6.543386774E-1,4.127899674E-3,2.596582053E-2
5.500000000E0,5.749764772E-1,1.438106983E-2,2.476739804E-2
5.600000000E0,4.994758606E-1,7.057376862E-3,1.531317621E-2
5.700000000E0,3.920173110E-1,6.125270484E-3,2.756371718E-2
5.800000000E0,2.870887644E-1,2.396844972E-3,1.784317924E-2
5.900000000E0,2.133192025E-1,8.655273510E-3,1.771002118E-2
6.000000000E0,1.379517439E-1,6.791060754E-3,1.677791480E-2
6.100000000E0,1.021322274E-1,1.158475070E-2,1.704423091E-2
6.200000000E0,1.085238140E-1,1.704423091E-2,2.490055610E-2
6.300000000E0,1.186438261E-1,6.524744646E-3,1.597896648E-2
6.400000000E0,1.528654460E-1,4.660531890E-3,1.810949534E-2
6.500000000E0,2.273007982E-1,1.012001210E-2,1.691107286E-2
6.600000000E0,3.269030226E-1,7.989483240E-4,2.303634334E-2
6.700000000E0,4.127899674E-1,5.858954376E-3,2.037318226E-2
6.800000000E0,5.098621888E-1,1.997370810E-3,1.997370810E-2
6.900000000E0,6.042712491E-1,4.394215782E-3,1.304948929E-2
7.000000000E0,6.582002609E-1,6.125270484E-3,1.917475978E-2
7.100000000E0,6.844323976E-1,-5.193164106E-3,1.038632821E-2
7.200000000E0,6.736465952E-1,8.921589618E-3,3.129214269E-2
7.300000000E0,6.227802186E-1,1.278317318E-2,2.130528864E-2
7.400000000E0,5.496764469E-1,6.791060754E-3,2.410160777E-2
7.500000000E0,4.944158545E-1,2.530003026E-3,2.809634939E-2
7.600000000E0,3.824299311E-1,-3.861583566E-3,2.170476280E-2
7.700000000E0,2.961435121E-1,9.321063780E-3,2.676476885E-2
7.800000000E0,2.167813119E-1,5.326322160E-3,2.463423999E-2
7.900000000E0,1.458080691E-1,1.637844064E-2,1.265001513E-2
8.000000000E0,1.154480328E-1,9.986854050E-3,1.771002118E-2
8.100000000E0,1.043959143E-1,6.924218808E-3,2.916161383E-2
8.200000000E0,1.295627865E-1,1.544633426E-2,1.890844367E-2
8.300000000E0,1.700428350E-1,9.321063780E-3,1.797633729E-2
8.400000000E0,2.283660626E-1,1.278317318E-2,2.583266248E-2
8.500000000E0,3.205114360E-1,5.992112430E-3,1.185106681E-2
8.600000000E0,4.277036694E-1,-9.321063780E-4,2.396844972E-2
8.700000000E0,5.346295868E-1,-9.054747672E-3,1.704423091E-2
8.800000000E0,5.757754255E-1,1.051948627E-2,8.122641294E-3
8.900000000E0,6.335660209E-1,1.464738594E-2,2.649845275E-2
9.000000000E0,6.748450177E-1,-4.127899674E-3,1.198422486E-3
9.100000000E0,6.815029204E-1,-2.663161080E-4,2.942792993E-2
9.200000000E0,6.484797230E-1,-3.994741620E-3,1.065264432E-2
9.300000000E0,5.799033252E-1,-3.861583566E-3,2.463423999E-2
9.400000000E0,4.801679427E-1,4.660531890E-3,2.090581448E-2
9.500000000E0,3.813646667E-1,3.728425512E-3,2.410160777E-2
9.600000000E0,2.802977037E-1,1.478054399E-2,2.822950745E-2
9.700000000E0,2.146507830E-1,7.590009078E-3,2.663161080E-2
9.800000000E0,1.656486192E-1,3.195793296E-3,1.930791783E-2
9.900000000E0,1.117196073E-1,1.850896951E-2,2.077265642E-2
1.000000000E1,1.183775100E-1,7.856325186E-3,1.384843762E-2
1.010000000E1,1.419464856E-1,7.856325186E-3,2.530003026E-2
1.020000000E1,1.736381024E-1,1.318264735E-2,1.717738897E-2
1.030000000E1,2.557966217E-1,2.530003026E-3,2.423476583E-2
1.040000000E1,3.300988159E-1,1.038632821E-2,1.930791783E-2
1.050000000E1,4.181162896E-1,6.524744646E-3,1.744370507E-2
1.060000000E1,4.904211129E-1,5.992112430E-3,1.704423091E-2
1.070000000E1,6.033391427E-1,-7.856325186E-3,1.158475070E-2
1.080000000E1,6.446181394E-1,1.731054702E-3,1.424791178E-2
1.090000000E1,6.717823824E-1,-4.394215782E-3,1.411475372E-2
1.100000000E1,6.637928992E-1,4.127899674E-3,1.211738291E-2
1.110000000E1,6.323675984E-1,1.331580540E-3,2.010686615E-2
1.120000000E1,5.629922523E-1,3.195793296E-3,2.197107891E-2
1.130000000E1,4.613926571E-1,9.321063780E-4,1.478054399E-2
1.140000000E1,3.739078156E-1,2.396844972E-3,1.518001816E-2
1.150000000E1,2.924150866E-1,1.464738594E-2,3.115898464E-2
1.160000000E1,2.203765794E-1,6.657902700E-3,2.130528864E-2
1.170000000E1,1.672465158E-1,7.856325186E-3,2.077265642E-2
1.180000000E1,1.310275251E-1,1.478054399E-2,2.010686615E-2
1.190000000E1,1.288969963E-1,1.051948627E-2,1.997370810E-2
1.200000000E1,1.439438564E-1,8.788431564E-3,1.837581145E-2
1.210000000E1,1.715075736E-1,1.065264432E-2,1.984055005E-2
1.220000000E1,2.649845275E-1,-9.321063780E-4,1.970739199E-2
1.230000000E1,3.359577702E-1,9.587379888E-3,1.850896951E-2
1.240000000E1,4.273041953E-1,5.060006052E-3,1.637844064E-2
1.250000000E1,4.914863773E-1,1.198422486E-3,1.478054399E-2
1.260000000E1,5.892243890E-1,-9.321063780E-3,1.118527654E-2
1.270000000E1,6.317018082E-1,1.997370810E-3,2.024002421E-2
1.280000000E1,6.539392032E-1,-8.788431564E-3,6.791060754E-3
1.290000000E1,6.652576378E-1,1.065264432E-2,2.237055307E-2
1.300000000E1,6.262423280E-1,-3.062635242E-3,1.584580843E-2
1.310000000E1,5.487443405E-1,9.321063780E-3,1.930791783E-2
1.320000000E1,4.846953166E-1,-1.331580540E-4,1.957423394E-2
1.330000000E1,3.937483657E-1,1.331580540E-3,2.436792388E-2
1.340000000E1,3.138535333E-1,-1.597896648E-3,2.103897253E-2
1.350000000E1,2.274339562E-1,6.258428538E-3,2.250371113E-2
1.360000000E1,1.719070477E-1,1.145159264E-2,2.490055610E-2
1.370000000E1,1.472728077E-1,-2.663161080E-4,2.050634032E-2
1.380000000E1,1.300954188E-1,1.424791178E-2,1.997370810E-2
1.390000000E1,1.613875614E-1,2.796319134E-3,1.771002118E-2
1.400000000E1,2.013349776E-1,-6.657902700E-4,1.677791480E-2
1.410000000E1,2.589924150E-1,6.391586592E-3,2.396844972E-2
1.420000000E1,3.391535635E-1,2.663161080E-3,1.251685708E-2
1.430000000E1,4.049336422E-1,9.986854050E-3,1.837581145E-2
1.440000000E1,4.929511159E-1,6.524744646E-3,2.170476280E-2
1.450000000E1,5.824333282E-1,-4.793689944E-3,2.024002421E-2
1.460000000E1,6.241117991E-1,-1.331580540E-4,1.105211848E-2
1.470000000E1,6.527407807E-1,0.000000000E0,1.850896951E-2
1.480000000E1,6.609965801E-1,-1.171790875E-2,1.850896951E-2
1.490000000E1,6.166549481E-1,-6.657902700E-4,1.970739199E-2
1.500000000E1,5.546032949E-1,7.989483240E-4,2.050634032E-2
1.510000000E1,4.964132253E-1,1.864212756E-3,2.796319134E-2
1.520000000E1,4.217115570E-1,-2.130528864E-3,2.436792388E-2
1.530000000E1,3.129214269E-1,1.531317621E-2,2.383529167E-2
1.540000000E1,2.379534425E-1,6.791060754E-3,1.238369902E-2
1.550000000E1,2.102565673E-1,-4.127899674E-3,2.117213059E-2
1.560000000E1,1.459412272E-1,1.358212151E-2,2.063949837E-2
1.570000000E1,1.415470114E-1,1.491370205E-2,1.890844367E-2
1.580000000E1,1.568601876E-1,1.158475070E-2,2.077265642E-2
1.590000000E1,2.038649807E-1,3.595267458E-3,2.050634032E-2
1.600000000E1,2.414155519E-1,1.318264735E-2,1.731054702E-2
1.610000000E1,3.358246122E-1,1.065264432E-3,1.771002118E-2
1.620000000E1,4.238420859E-1,5.326322160E-3,3.209109101E-2
1.630000000E1,4.681837179E-1,1.491370205E-2,2.410160777E-2
1.640000000E1,5.672533100E-1,-3.328951350E-3,2.356897556E-2
1.650000000E1,5.945507111E-1,9.321063780E-3,1.810949534E-2
1.660000000E1,6.330333887E-1,4.926847998E-3,1.424791178E-2
1.670000000E1,6.615292123E-1,-2.396844972E-3,2.423476583E-2
1.680000000E1,6.163886320E-1,-1.331580540E-3,1.304948929E-2
1.690000000E1,5.483448664E-1,3.195793296E-3,2.343581750E-2
1.700000000E1,4.717789853E-1,1.451422789E-2,1.917475978E-2
1.710000000E1,4.040015358E-1,1.065264432E-2,1.012001210E-2
1.720000000E1,3.312972384E-1,4.261057728E-3,1.784317924E-2
1.730000000E1,2.537992509E-1,1.451422789E-2,2.942792993E-2
1.740000000E1,1.900165431E-1,2.223739502E-2,2.450108194E-2
1.750000000E1,1.719070477E-1,1.105211848E-2,2.037318226E-2
1.760000000E1,1.454085950E-1,9.321063780E-3,2.543318831E-2
1.770000000E1,1.664475675E-1,6.258428538E-3,1.930791783E-2
1.780000000E1,2.043976129E-1,1.238369902E-2,2.290318529E-2
1.790000000E1,2.688461110E-1,-3.462109404E-3,2.237055307E-2
1.800000000E1,3.278351289E-1,4.394215782E-3,2.609897858E-2
1.810000000E1,3.982757395E-1,1.012001210E-2,1.944107588E-2
1.820000000E1,4.928179579E-1,-4.261057728E-3,2.769687523E-2
1.830000000E1,5.530053983E-1,1.198422486E-3,2.450108194E-2
1.840000000E1,6.113286259E-1,2.796319134E-3,2.503371415E-2
1.850000000E1,6.233128508E-1,7.590009078E-3,1.344896345E-2
1.860000000E1,6.243781152E-1,2.396844972E-3,1.997370810E-2
1.870000000E1,5.974801883E-1,1.158475070E-2,1.877528561E-2
1.880000000E1,5.621933040E-1,-2.796319134E-3,2.543318831E-2
1.890000000E1,4.667189793E-1,1.398159567E-2,1.398159567E-2
1.900000000E1,4.302336725E-1,-5.326322160E-3,1.478054399E-2
1.910000000E1,3.470098887E-1,9.054747672E-3,1.411475372E-2
1.920000000E1,2.716424302E-1,1.704423091E-2,2.649845275E-2
1.930000000E1,2.177134183E-1,1.318264735E-2,2.370213361E-2
1.940000000E1,1.902828592E-1,3.595267458E-3,2.516687221E-2
1.950000000E1,1.641838806E-1,1.611212453E-2,2.237055307E-2
1.960000000E1,1.664475675E-1,9.720537942E-3,1.744370507E-2
1.970000000E1,2.201102633E-1,5.193164106E-3,2.223739502E-2
1.980000000E1,2.471413482E-1,1.078580237E-2,1.810949534E-2
1.990000000E1,3.233077551E-1,1.065264432E-3,1.637844064E-2
2.000000000E1,4.012052167E-1,-6.391586592E-3,1.491370205E-2
2.010000000E1,4.615258152E-1,4.926847998E-3,2.463423999E-2
2.020000000E1,5.199822009E-1,1.438106983E-2,2.383529167E-2
2.030000000E1,5.672533100E-1,2.729740107E-2,2.982740410E-2
2.040000000E1,6.257096957E-1,6.258428538E-3,2.143844669E-2
2.050000000E1,6.729808049E-1,-3.115898464E-2,1.531317621E-2
2.060000000E1,6.069344101E-1,-2.929477188E-3,1.198422486E-2
2.070000000E1,5.588643526E-1,9.321063780E-4,2.277002723E-2
2.080000000E1,4.683168759E-1,5.326322160E-3,2.130528864E-3
2.090000000E1,4.259726147E-1,4.527373836E-3,2.223739502E-2
2.100000000E1,3.691141257E-1,1.051948627E-2,2.263686918E-2
2.110000000E1,2.771019104E-1,1.371527956E-2,2.356897556E-2
2.120000000E1,2.170476280E-1,1.185106681E-2,1.970739199E-2
2.130000000E1,1.956091813E-1,1.571265037E-2,2.263686918E-2
2.140000000E1,1.790975826E-1,7.856325186E-3,1.691107286E-2
2.150000000E1,1.776328440E-1,5.060006052E-3,1.904160172E-2
2.160000000E1,2.375539683E-1,-7.590009078E-3,2.396844972E-2
2.170000000E1,2.627208405E-1,8.655273510E-3,2.223739502E-2
2.180000000E1,3.138535333E-1,7.856325186E-3,1.930791783E-2
2.190000000E1,3.854925663E-1,-4.793689944E-3,2.090581448E-2
2.200000000E1,4.559331769E-1,-1.597896648E-3,2.183792086E-2
2.210000000E1,4.760400431E-1,3.542004236E-2,2.636529469E-2
2.220000000E1,5.765743738E-1,-9.321063780E-3,1.677791480E-2
2.230000000E1,6.094644132E-1,4.793689944E-3,1.611212453E-2
2.240000000E1,6.024070363E-1,8.788431564E-3,1.518001816E-2
2.250000000E1,5.812349057E-1,7.989483240E-3,2.210423696E-2
2.260000000E1,5.538043466E-1,7.590009078E-3,1.810949534E-2
2.270000000E1,5.142564045E-1,-6.125270484E-3,1.864212756E-2
2.280000000E1,4.376905235E-1,2.796319134E-3,1.904160172E-2
